Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Interactivity	50.0	46.0	28.57142857142857
ALL	Acceleration	44.11764705882353	44.11764705882353	0.0
ALL	User_interface	79.41176470588235	80.0	0.0
ALL	Deception	50.0	50.0	0.0
ALL	Mass_production	61.76470588235294	55.88235294117647	0.0
ALL	Teamwork	65.78947368421052	76.08695652173913	0.0
ALL	Academic_publishing	21.428571428571427	26.19047619047619	0.0
ALL	Display_device	31.818181818181817	31.818181818181817	0.0
ALL	Task_force	31.818181818181817	40.90909090909091	0.0
ALL	Crowdsourcing	50.0	50.0	0.0
ALL	Day-tripper	50.0	50.0	66.66666666666666
ALL	Prior_art	0.0	55.88235294117647	0.0
ALL	Search_and_seizure	50.0	35.714285714285715	0.0
ALL	Concept	46.0	34.0	23.52941176470588
ALL	Broadcast_programming	0.0	65.38461538461539	0.0
ALL	Innovation	18.0	22.0	0.0
ALL	Integrated_circuit	15.217391304347826	28.26086956521739	0.0
ALL	Social_media	70.0	70.0	66.66666666666666
ALL	Document	74.0	70.0	64.28571428571429
ALL	Public	0.0	56.666666666666664	0.0
ALL	Cultural_history	50.0	27.77777777777778	0.0
ALL	Lecturer	34.78260869565217	38.0	0.0
ALL	Designer	30.0	26.0	0.0
ALL	Opportunity_cost	76.08695652173913	76.08695652173913	0.0
ALL	Business	14.705882352941176	32.35294117647059	0.0
ALL	Navigation	38.888888888888886	38.888888888888886	0.0
ALL	Philosophy	43.47826086956522	43.47826086956522	0.0
ALL	YouTube	31.818181818181817	77.27272727272727	0.0
ALL	Computer_program	50.0	20.58823529411765	61.111111111111114
ALL	Sustainability	34.0	26.0	0.0
ALL	Cognitive_science	71.73913043478261	71.73913043478261	0.0
ALL	Virtual_reality	70.0	70.0	0.0
ALL	Conflict_resolution	65.78947368421052	60.526315789473685	0.0
ALL	Physical_exercise	39.473684210526315	23.68421052631579	0.0
ALL	Statistical_hypothesis_testing	0.0	63.333333333333336	0.0
ALL	Translation	14.0	42.0	0.0
ALL	Turning	46.0	46.0	0.0
ALL	Tourism	50.0	50.0	66.66666666666666
ALL	Film_editing	35.294117647058826	35.294117647058826	0.0
ALL	Sound	0.0	16.0	0.0
ALL	Peer_review	72.22222222222223	72.22222222222223	0.0
ALL	Regular_expression	50.0	50.0	0.0
ALL	Cognition	42.30769230769231	48.0	0.0
ALL	Measurement	18.42105263157895	39.473684210526315	0.0
ALL	Iteration	20.0	20.0	0.0
ALL	Consumer_behaviour	70.0	70.0	0.0
ALL	Analysis	42.0	42.0	0.0
ALL	Simulation	36.95652173913044	32.608695652173914	0.0
ALL	Project	22.0	26.0	0.0
ALL	Fashion	50.0	27.77777777777778	40.0
ALL	Visual_system	39.473684210526315	54.0	0.0
ALL	Mechanical_engineering	50.0	50.0	0.0
ALL	Soldering	0.0	60.0	70.0
ALL	Organization	62.0	54.0	0.0
ALL	Empirical_research	63.333333333333336	63.333333333333336	0.0
ALL	Usability	10.869565217391305	15.217391304347826	0.0
ALL	Mechanics	61.76470588235294	61.76470588235294	0.0
ALL	New_product_development	19.565217391304348	23.91304347826087	0.0
ALL	Tutor	24.0	24.0	0.0
ALL	Computer_file	60.0	60.0	70.0
ALL	Product_design	18.0	18.0	0.0
ALL	Focus_group	56.666666666666664	46.666666666666664	59.09090909090909
ALL	Planning	50.0	50.0	27.27272727272727
ALL	COBOL	36.95652173913044	45.65217391304348	0.0
ALL	Index_(publishing)	63.333333333333336	63.333333333333336	0.0
ALL	Usability_testing	72.22222222222223	59.09090909090909	0.0
ALL	Built_environment	44.11764705882353	44.11764705882353	0.0
ALL	Support_group	26.923076923076923	34.61538461538461	0.0
ALL	Life-cycle_assessment	76.66666666666667	76.66666666666667	0.0
ALL	Software_engineering	50.0	50.0	0.0
ALL	Case_study	62.0	46.0	0.0
