Origin	Ann_ID	Skill	Knowledge	Interest
website	Interactivity	50.0	50.0	66.66666666666666
website	Interaction	70.0	70.0	80.0
website	Art	50.0	50.0	66.66666666666666
website	Electricity	50.0	50.0	66.66666666666666
website	Case_study	50.0	50.0	66.66666666666666
website	Tool	50.0	50.0	66.66666666666666
website	Product_design	50.0	50.0	66.66666666666666
website	System	50.0	50.0	66.66666666666666
website	Analysis	50.0	50.0	66.66666666666666
website	Microsoft	50.0	50.0	66.66666666666666
website	Stimulation	50.0	50.0	66.66666666666666
website	International	50.0	50.0	66.66666666666666
website	Apartment	50.0	50.0	66.66666666666666
website	Design	70.0	70.0	80.0
website	Community	50.0	50.0	66.66666666666666
website	Production_company	50.0	50.0	66.66666666666666
website	Assembly_line	50.0	50.0	66.66666666666666
website	Technology	50.0	50.0	66.66666666666666
website	Energy	50.0	50.0	66.66666666666666
ALL	Interactivity	82.0	80.0	78.57142857142857
ALL	Acceleration	50.0	50.0	0.0
ALL	User_interface	35.294117647058826	60.0	0.0
ALL	Leaf	50.0	50.0	66.66666666666666
ALL	Drill	50.0	50.0	0.0
ALL	Title	50.0	50.0	0.0
ALL	Structural_engineering	50.0	50.0	0.0
ALL	Method_acting	0.0	50.0	0.0
ALL	Qualitative_research	47.05882352941177	41.1764705882353	0.0
ALL	Innovation	42.0	38.0	0.0
ALL	Integrated_circuit	45.65217391304348	54.34782608695652	0.0
ALL	Document	80.0	80.0	64.28571428571429
ALL	Public	76.92307692307692	76.66666666666667	66.66666666666666
ALL	Independence	50.0	50.0	0.0
ALL	Lecturer	67.3913043478261	80.0	0.0
ALL	Film_editing	70.58823529411765	70.58823529411765	0.0
ALL	Designer	22.0	22.0	0.0
ALL	Opportunity_cost	71.73913043478261	71.73913043478261	0.0
ALL	Business	79.41176470588235	50.0	0.0
ALL	Internship	35.714285714285715	71.42857142857143	0.0
ALL	Stand-in	50.0	50.0	66.66666666666666
ALL	Philosophy	26.08695652173913	26.08695652173913	0.0
ALL	Watch	50.0	50.0	66.66666666666666
ALL	Installation_art	57.142857142857146	57.142857142857146	64.28571428571429
ALL	Guide	68.0	68.0	0.0
ALL	Electricity	79.41176470588235	79.41176470588235	66.66666666666666
ALL	Cognitive_science	50.0	54.34782608695652	0.0
ALL	Conflict_resolution	36.8421052631579	26.31578947368421	0.0
ALL	Digital_signage	50.0	50.0	0.0
ALL	Statistical_hypothesis_testing	50.0	70.0	0.0
ALL	Ethics	71.73913043478261	76.08695652173913	0.0
ALL	Usability	54.34782608695652	50.0	0.0
ALL	Competitiveness	29.41176470588235	35.294117647058826	0.0
ALL	Sound	36.36363636363637	48.0	34.61538461538461
ALL	Grammar	59.09090909090909	77.27272727272727	0.0
ALL	Sustainable_development	50.0	50.0	0.0
ALL	AOL_Instant_Messenger	46.666666666666664	46.666666666666664	0.0
ALL	Cognition	0.0	16.0	0.0
ALL	Industry	53.333333333333336	53.333333333333336	0.0
ALL	Iteration	26.0	30.0	0.0
ALL	Analysis	80.0	80.0	80.0
ALL	Simulation	67.3913043478261	63.04347826086956	0.0
ALL	Project	82.0	80.0	64.28571428571429
ALL	Technician	60.0	60.0	0.0
ALL	Magazine	42.857142857142854	64.28571428571429	0.0
ALL	Architect	33.333333333333336	33.333333333333336	0.0
ALL	Visual_system	78.94736842105263	74.0	66.66666666666666
ALL	Mechanical_engineering	26.470588235294116	38.23529411764706	0.0
ALL	Energy_development	50.0	50.0	0.0
ALL	Mass_production	20.58823529411765	26.470588235294116	0.0
ALL	OSI_model	60.0	60.0	0.0
ALL	Glasses	50.0	50.0	0.0
ALL	Mechanics	20.58823529411765	26.470588235294116	0.0
ALL	Renewable_energy	50.0	50.0	0.0
ALL	New_product_development	80.43478260869566	80.43478260869566	0.0
ALL	Art	70.0	70.0	60.0
ALL	Target_audience	73.52941176470588	79.41176470588235	42.857142857142854
ALL	Local_government	74.0	66.0	0.0
ALL	Product_design	80.0	78.0	78.57142857142857
ALL	Telephone	73.33333333333333	73.33333333333333	50.0
ALL	Planning	45.65217391304348	41.30434782608695	0.0
ALL	COBOL	80.43478260869566	71.73913043478261	0.0
ALL	Shoe	70.0	50.0	66.66666666666666
ALL	Process_control	34.21052631578947	34.21052631578947	0.0
ALL	Measurement	44.73684210526316	50.0	0.0
ALL	Safety	0.0	28.0	0.0
ALL	Life-cycle_assessment	33.333333333333336	33.333333333333336	0.0
ALL	Case_study	80.0	78.0	66.66666666666666
ALL	Debate	42.0	42.0	0.0
ALL	Mathematical_analysis	20.58823529411765	34.21052631578947	0.0
ALL	Industrial_design	63.04347826086956	71.73913043478261	0.0
ALL	SolidWorks	61.111111111111114	61.111111111111114	0.0
ALL	Biofuel	50.0	50.0	0.0
ALL	Fine_art	50.0	50.0	0.0
ALL	Entertainment	60.0	60.0	70.0
ALL	Broadband	74.0	74.0	0.0
ALL	Interview	0.0	28.0	0.0
ALL	Wikipedia	50.0	50.0	66.66666666666666
ALL	System	78.0	80.0	85.71428571428571
ALL	Biomass	50.0	50.0	0.0
ALL	Kinect	70.0	30.0	70.0
ALL	Pen	42.857142857142854	42.857142857142854	0.0
ALL	Camera	50.0	71.42857142857143	71.42857142857143
ALL	Initiation	36.36363636363637	36.36363636363637	0.0
ALL	Cooperation	76.92307692307692	76.92307692307692	0.0
ALL	User_experience	54.76190476190476	50.0	0.0
ALL	International	76.3157894736842	71.05263157894737	71.42857142857143
ALL	Autodidacticism	26.470588235294116	26.470588235294116	0.0
