Run	Precision	Recall	Fb	Lang	Cand
single_p8_c0_0_s0	0.3793103448275862	0.6875		nl	single
single_p8_c0_0_s0	0.5993150684931506	0.6628787878787878		en	single
single_p8_c0_0_s0	0.3793103448275862	0.6875		nl	single
single_p8_c0_0_s0	0.5993150684931506	0.6628787878787878		en	single
single_p8_c0_0_s0	0.3793103448275862	0.6875		nl	single
single_p8_c0_0_s0	0.5993150684931506	0.6628787878787878		en	single
multi_p8_c0_0_s0	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_0_s0	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_0_s0	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_0_s0	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_0_s0	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_0_s0	0.4406779661016949	0.7878787878787878		en	multi
single_p8_c0_1_s0	0.3793103448275862	0.6875		nl	single
single_p8_c0_1_s0	0.5993150684931506	0.6628787878787878		en	single
single_p8_c0_0_s20	0.3793103448275862	0.6875		nl	single
single_p8_c0_0_s20	0.5993150684931506	0.6628787878787878		en	single
single_p8_c0_1_s20	0.3793103448275862	0.6875		nl	single
single_p8_c0_1_s20	0.5993150684931506	0.6628787878787878		en	single
multi_p8_c0_1_s0	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_1_s0	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_0_s20	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_0_s20	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_1_s20	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_1_s20	0.4406779661016949	0.7878787878787878		en	multi
single_p8_c0_2_s0	0.3793103448275862	0.6875		nl	single
single_p8_c0_2_s0	0.603448275862069	0.6628787878787878		en	single
single_p8_c0_0_s80	0.3793103448275862	0.6875		nl	single
single_p8_c0_0_s80	0.5993150684931506	0.6628787878787878		en	single
single_p8_c0_2_s80	0.3793103448275862	0.6875		nl	single
single_p8_c0_2_s80	0.603448275862069	0.6628787878787878		en	single
multi_p8_c0_2_s0	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_2_s0	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_0_s80	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_0_s80	0.4406779661016949	0.7878787878787878		en	multi
multi_p8_c0_2_s80	0.2523364485981308	0.84375		nl	multi
multi_p8_c0_2_s80	0.4406779661016949	0.7878787878787878		en	multi
single_p8_c0_3_s0	0.3793103448275862	0.6875		nl	single
single_p8_c0_3_s0	0.6055363321799307	0.6628787878787878		en	single
