Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Interactivity	10.0	14.0	0.0
ALL	User_interface	0.0	26.0	0.0
ALL	Plastic	50.0	71.42857142857143	78.57142857142857
ALL	Playground	50.0	50.0	66.66666666666666
ALL	Support_group	50.0	65.38461538461539	0.0
ALL	Innovation	26.0	26.0	0.0
ALL	Role_Models	0.0	50.0	66.66666666666666
ALL	Waste	50.0	50.0	66.66666666666666
ALL	Role_model	0.0	70.0	70.0
ALL	Lecturer	0.0	26.0	0.0
ALL	Designer	10.0	14.0	0.0
ALL	Rhino_(JavaScript_engine)	50.0	50.0	66.66666666666666
ALL	Parent	35.714285714285715	71.42857142857143	80.0
ALL	Photography	50.0	71.42857142857143	78.57142857142857
ALL	Perception	34.0	46.0	0.0
ALL	Sustainability	14.0	58.0	57.14285714285714
ALL	Cognitive_science	50.0	54.34782608695652	0.0
ALL	Conflict_resolution	55.26315789473684	44.73684210526316	0.0
ALL	Physical_exercise	23.68421052631579	31.57894736842105	0.0
ALL	Translation	30.0	24.0	0.0
ALL	Review	21.428571428571427	22.727272727272727	0.0
ALL	Icon	50.0	50.0	66.66666666666666
ALL	Sound	0.0	30.0	0.0
ALL	Peer_review	27.77777777777778	50.0	0.0
ALL	Hearing_(sense)	50.0	50.0	0.0
ALL	AOL_Instant_Messenger	23.333333333333332	36.666666666666664	0.0
ALL	Cognition	0.0	28.0	0.0
ALL	Iteration	74.0	74.0	79.41176470588235
ALL	Analysis	14.0	18.0	0.0
ALL	Project	14.0	18.0	0.0
ALL	Conversation	50.0	26.923076923076923	0.0
ALL	Exploration	27.77777777777778	38.888888888888886	0.0
ALL	Visual_system	18.42105263157895	38.0	0.0
ALL	Organization	18.0	22.0	0.0
ALL	Usability	15.217391304347826	10.869565217391305	66.66666666666666
ALL	Rhinoceros	50.0	50.0	66.66666666666666
ALL	Fashion	0.0	72.22222222222223	0.0
ALL	Target_audience	38.23529411764706	73.52941176470588	71.42857142857143
ALL	Local_government	20.0	24.0	0.0
ALL	Product_design	10.0	46.0	0.0
ALL	Focus_group	43.333333333333336	46.666666666666664	59.09090909090909
ALL	Origami	50.0	50.0	66.66666666666666
ALL	Case_study	18.0	26.0	0.0
ALL	Debate	30.0	38.0	0.0
ALL	Academic_publishing	35.714285714285715	21.428571428571427	0.0
ALL	Broadband	48.0	48.0	0.0
ALL	Recipe	64.28571428571429	64.28571428571429	0.0
ALL	System	20.0	26.0	0.0
ALL	Pen	71.42857142857143	71.42857142857143	66.66666666666666
