Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Film_treatment	50.0	50.0	0.0
ALL	Image_scanner	50.0	50.0	66.66666666666666
ALL	Cultural_history	72.22222222222223	61.111111111111114	0.0
ALL	Designer	74.0	58.0	50.0
ALL	Opportunity_cost	50.0	50.0	0.0
ALL	Business	38.23529411764706	26.470588235294116	0.0
ALL	Histogram	50.0	50.0	0.0
ALL	Joint	50.0	71.42857142857143	0.0
ALL	Lighting	50.0	50.0	66.66666666666666
ALL	Physical_exercise	18.42105263157895	18.42105263157895	0.0
ALL	Analog_signal	50.0	50.0	0.0
ALL	Film_editing	35.294117647058826	35.294117647058826	0.0
ALL	Cognition	0.0	16.0	0.0
ALL	Industry	53.333333333333336	53.333333333333336	0.0
ALL	Conversation	27.77777777777778	19.23076923076923	0.0
ALL	Visual_system	44.73684210526316	46.0	0.0
ALL	Mechanical_engineering	44.11764705882353	32.35294117647059	0.0
ALL	Rapid_prototyping	76.66666666666667	76.66666666666667	0.0
ALL	Recipe	35.714285714285715	35.714285714285715	0.0
ALL	Surface	71.42857142857143	71.42857142857143	80.0
ALL	COBOL	50.0	58.69565217391305	0.0
ALL	Index_(publishing)	46.666666666666664	46.666666666666664	0.0
ALL	Debate	38.0	34.0	0.0
ALL	Mathematical_analysis	38.23529411764706	39.473684210526315	0.0
ALL	Discrete_Fourier_transform	50.0	50.0	0.0
ALL	Interaction	50.0	50.0	52.38095238095239
ALL	Power_(physics)	55.88235294117647	44.11764705882353	0.0
ALL	Asynchronous_Transfer_Mode	50.0	50.0	66.66666666666666
ALL	Body_language	50.0	50.0	66.66666666666666
ALL	Development_economics	60.526315789473685	55.26315789473684	0.0
ALL	Collaboration	23.529411764705884	23.529411764705884	0.0
ALL	Information_technology	70.0	70.0	0.0
ALL	E-learning	53.333333333333336	53.333333333333336	0.0
ALL	Attitude_(psychology)	35.294117647058826	35.294117647058826	0.0
ALL	Medical_ultrasonography	50.0	50.0	0.0
ALL	Biocompatibility	50.0	50.0	0.0
ALL	Green	60.0	60.0	70.0
ALL	Data_storage_device	32.35294117647059	38.23529411764706	0.0
ALL	Philosophy_of_science	50.0	48.0	0.0
ALL	3D_modeling	50.0	50.0	66.66666666666666
ALL	Concept	74.0	70.0	82.35294117647058
ALL	Technology	30.0	42.0	22.727272727272727
ALL	Foreign_language	70.0	70.0	66.66666666666666
ALL	Tutor	80.0	80.0	66.66666666666666
ALL	Pragmatism	62.0	62.0	0.0
ALL	Safety	0.0	28.0	0.0
ALL	Futures_contract	70.0	63.333333333333336	0.0
ALL	Prototype	74.0	74.0	72.0
ALL	Evaluation	54.0	38.0	0.0
ALL	Blueprint	0.0	36.0	0.0
ALL	Embedded_system	43.333333333333336	43.333333333333336	0.0
ALL	Geometry	39.473684210526315	39.473684210526315	0.0
ALL	Web_design	68.18181818181819	72.72727272727273	0.0
ALL	Terminology	74.0	66.0	0.0
ALL	Feedback	80.76923076923077	79.41176470588235	82.35294117647058
ALL	Video	53.333333333333336	46.666666666666664	53.333333333333336
ALL	Competitiveness	50.0	61.76470588235294	0.0
ALL	Discipline	20.0	26.666666666666668	0.0
ALL	Adhesive	0.0	50.0	66.66666666666666
ALL	Corporation	38.23529411764706	44.11764705882353	0.0
ALL	Globalization	73.52941176470588	80.43478260869566	0.0
ALL	Digital	34.21052631578947	30.952380952380953	0.0
ALL	Policy	70.58823529411765	70.58823529411765	0.0
ALL	Visualization_(computer_graphics)	50.0	50.0	0.0
ALL	Computer-aided_design	39.473684210526315	81.57894736842105	66.66666666666666
ALL	Parallel_computing	30.0	30.0	0.0
ALL	Quality_of_life	55.26315789473684	50.0	0.0
ALL	Ad_hoc	34.61538461538461	34.61538461538461	0.0
ALL	Compassion	50.0	50.0	66.66666666666666
ALL	3D_computer_graphics	70.0	70.0	66.66666666666666
