Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Interactivity	26.0	30.0	0.0
ALL	Acceleration	67.6470588235294	67.6470588235294	0.0
ALL	User_interface	26.470588235294116	50.0	0.0
ALL	Mass_production	44.11764705882353	50.0	0.0
ALL	Display_device	50.0	50.0	0.0
ALL	Chart	50.0	50.0	0.0
ALL	Digital_photography	61.111111111111114	61.111111111111114	0.0
ALL	Array_data_structure	0.0	70.0	0.0
ALL	Broadcast_programming	0.0	42.30769230769231	0.0
ALL	Innovation	30.0	34.0	0.0
ALL	Integrated_circuit	28.26086956521739	50.0	0.0
ALL	Document	26.0	46.0	0.0
ALL	Cultural_history	61.111111111111114	50.0	0.0
ALL	Lecturer	54.34782608695652	70.0	0.0
ALL	Designer	66.0	50.0	50.0
ALL	Opportunity_cost	80.43478260869566	80.43478260869566	0.0
ALL	Business	20.58823529411765	44.11764705882353	0.0
ALL	Navigation	66.66666666666667	66.66666666666667	0.0
ALL	Philosophy	52.17391304347826	52.17391304347826	0.0
ALL	YouTube	63.63636363636363	63.63636363636363	0.0
ALL	Computer_program	20.58823529411765	44.11764705882353	0.0
ALL	Ethics	58.69565217391305	58.69565217391305	0.0
ALL	Sustainability	62.0	46.0	0.0
ALL	Cognitive_science	80.43478260869566	80.43478260869566	0.0
ALL	Craft	0.0	50.0	66.66666666666666
ALL	Diary	64.28571428571429	71.42857142857143	0.0
ALL	Physical_exercise	65.78947368421052	60.526315789473685	0.0
ALL	Statistical_hypothesis_testing	0.0	36.666666666666664	0.0
ALL	Translation	30.0	24.0	0.0
ALL	Quality_(business)	73.52941176470588	73.52941176470588	0.0
ALL	Sound	0.0	66.0	34.61538461538461
ALL	Peer_review	16.666666666666668	38.888888888888886	0.0
ALL	Regular_expression	79.41176470588235	78.94736842105263	0.0
ALL	Cognition	0.0	28.0	0.0
ALL	Typeface	50.0	50.0	66.66666666666666
ALL	Iteration	20.0	20.0	0.0
ALL	Consumer_behaviour	56.666666666666664	56.666666666666664	0.0
ALL	Analysis	58.0	58.0	0.0
ALL	Simulation	54.34782608695652	50.0	0.0
ALL	Project	26.0	30.0	0.0
ALL	Conversation	0.0	76.92307692307692	0.0
ALL	New_product_development	45.65217391304348	41.30434782608695	0.0
ALL	Visual_system	60.526315789473685	66.0	0.0
ALL	Mechanical_engineering	61.76470588235294	67.6470588235294	0.0
ALL	Organization	66.0	50.0	0.0
ALL	Built_environment	61.76470588235294	61.76470588235294	0.0
ALL	Usability	32.608695652173914	28.26086956521739	0.0
ALL	Mechanics	38.23529411764706	38.23529411764706	0.0
ALL	Fashion	0.0	50.0	0.0
ALL	Local_government	20.0	24.0	0.0
ALL	Laptop	70.0	70.0	0.0
ALL	Product_design	22.0	26.0	0.0
ALL	Telephone	50.0	43.333333333333336	0.0
ALL	Planning	58.69565217391305	58.69565217391305	27.27272727272727
ALL	COBOL	23.91304347826087	50.0	0.0
ALL	Index_(publishing)	76.66666666666667	76.66666666666667	0.0
ALL	Process_control	55.26315789473684	44.73684210526316	0.0
ALL	Personalization	38.888888888888886	50.0	0.0
ALL	Search_and_seizure	0.0	78.57142857142857	0.0
ALL	Life-cycle_assessment	33.333333333333336	33.333333333333336	0.0
ALL	Case_study	70.0	66.0	0.0
ALL	Debate	74.0	74.0	0.0
ALL	Mathematical_analysis	73.52941176470588	71.05263157894737	0.0
ALL	Academic_publishing	30.952380952380953	16.666666666666668	0.0
ALL	Statistics	30.0	30.0	0.0
ALL	Wealth	71.42857142857143	71.42857142857143	66.66666666666666
ALL	Clock	0.0	50.0	66.66666666666666
ALL	Broadband	62.0	62.0	0.0
ALL	Integral	55.88235294117647	55.88235294117647	0.0
ALL	System	26.0	30.0	0.0
ALL	Interaction	18.0	18.0	0.0
ALL	User_experience	21.428571428571427	26.19047619047619	0.0
ALL	Performance	58.0	54.0	0.0
ALL	Autodidacticism	26.470588235294116	26.470588235294116	0.0
ALL	Streaming_media	61.111111111111114	61.111111111111114	0.0
ALL	Economy	72.22222222222223	72.22222222222223	0.0
ALL	Power_(physics)	79.41176470588235	67.6470588235294	0.0
ALL	Group_theory	0.0	38.23529411764706	0.0
ALL	Risk	0.0	60.0	0.0
ALL	Programming_tool	50.0	28.94736842105263	0.0
ALL	Meeting	70.0	74.0	73.33333333333333
ALL	Tool	30.0	38.0	0.0
ALL	Prior_art	0.0	79.41176470588235	0.0
ALL	Game	50.0	11.904761904761905	28.947368421052634
ALL	Construction	0.0	40.90909090909091	0.0
ALL	Facebook	28.571428571428573	28.571428571428573	64.28571428571429
ALL	Mission_statement	50.0	71.05263157894737	0.0
ALL	Report	54.0	66.0	0.0
ALL	E-learning	30.0	30.0	0.0
ALL	Marketing_mix	79.41176470588235	79.41176470588235	0.0
ALL	Software_design	26.0	38.0	0.0
ALL	Website	46.0	46.0	0.0
ALL	Electronic_component	38.23529411764706	44.11764705882353	0.0
ALL	Human_nature	54.0	70.0	0.0
ALL	Observation	39.473684210526315	34.21052631578947	0.0
ALL	Differential_equation	54.0	54.0	0.0
ALL	Documentation	27.77777777777778	61.111111111111114	0.0
ALL	Attitude_(psychology)	70.58823529411765	70.58823529411765	0.0
ALL	Computer_programming	72.72727272727273	30.76923076923077	61.53846153846154
ALL	Systems_analysis	70.58823529411765	70.58823529411765	0.0
ALL	Short_film	26.19047619047619	26.19047619047619	0.0
ALL	Unix-like	50.0	50.0	66.66666666666666
ALL	Commercial_law	66.66666666666667	66.66666666666667	0.0
ALL	Data_storage_device	38.23529411764706	44.11764705882353	0.0
ALL	Philosophy_of_science	80.0	70.0	0.0
ALL	Drawing	50.0	50.0	27.77777777777778
ALL	Rapid_prototyping	50.0	50.0	0.0
ALL	Emotion	38.0	38.0	0.0
ALL	Motivation	44.73684210526316	40.476190476190474	0.0
ALL	Concept	22.0	30.0	0.0
ALL	Chemical_kinetics	67.6470588235294	67.6470588235294	0.0
ALL	Group_dynamics	54.76190476190476	63.04347826086956	0.0
ALL	Image	19.565217391304348	50.0	0.0
ALL	Industrial_design	23.91304347826087	23.91304347826087	0.0
ALL	Shape	61.76470588235294	61.76470588235294	33.33333333333333
ALL	Adobe_Photoshop	30.0	30.0	0.0
ALL	Design	18.0	30.0	26.0
ALL	Injection_molding	50.0	50.0	0.0
ALL	Content_analysis	58.0	62.0	0.0
ALL	Message	50.0	50.0	66.66666666666666
ALL	Technology	14.0	10.0	0.0
ALL	Structured_programming	74.0	80.0	0.0
ALL	Creative_writing	0.0	78.57142857142857	0.0
ALL	Pastel	61.111111111111114	61.111111111111114	0.0
ALL	Software_development_process	76.3157894736842	78.94736842105263	0.0
ALL	Metal	38.23529411764706	32.35294117647059	0.0
ALL	Psychology	61.76470588235294	78.94736842105263	0.0
ALL	Market_research	78.94736842105263	78.94736842105263	0.0
ALL	Humanities	30.0	38.0	0.0
ALL	Electricity	44.11764705882353	50.0	0.0
ALL	CD-ROM	76.66666666666667	76.66666666666667	0.0
ALL	Writing	22.0	42.0	0.0
ALL	Tutor	24.0	24.0	0.0
ALL	Pragmatism	74.0	70.0	0.0
ALL	Safety	0.0	54.0	0.0
ALL	Output	34.21052631578947	50.0	0.0
ALL	Application_software	36.95652173913044	28.26086956521739	0.0
ALL	Prototype	18.0	30.0	24.0
ALL	Evaluation	38.0	42.0	0.0
ALL	Multinational_corporation	73.33333333333333	73.33333333333333	0.0
ALL	Awareness	50.0	38.0	0.0
ALL	Blueprint	0.0	28.0	0.0
ALL	Web_2~0	66.66666666666667	66.66666666666667	0.0
ALL	Statics	32.35294117647059	32.35294117647059	0.0
ALL	Perception	54.0	54.0	0.0
ALL	Academic_conference	38.23529411764706	55.88235294117647	0.0
ALL	Nature	42.0	46.0	0.0
ALL	Problem_solving	0.0	80.0	0.0
ALL	Globalization	0.0	58.69565217391305	0.0
ALL	Team_building	35.714285714285715	35.714285714285715	0.0
ALL	Implementation	50.0	50.0	0.0
ALL	Accompaniment	70.0	70.0	0.0
ALL	Plan	34.0	38.0	0.0
ALL	Studio	47.36842105263158	52.63157894736842	0.0
ALL	Experiential_learning	0.0	70.0	0.0
ALL	Explosion	55.88235294117647	55.88235294117647	0.0
ALL	Process_management	50.0	55.26315789473684	0.0
ALL	Dutch_language	19.23076923076923	19.23076923076923	0.0
ALL	Conflict_resolution	50.0	39.473684210526315	0.0
ALL	Network_theory	72.72727272727273	54.54545454545455	0.0
ALL	Language	35.714285714285715	35.714285714285715	0.0
ALL	Geometry	47.36842105263158	47.36842105263158	0.0
ALL	Universe	33.333333333333336	33.333333333333336	0.0
ALL	Forecasting	50.0	67.6470588235294	0.0
ALL	Creative_industries	70.0	50.0	0.0
ALL	Empirical_research	30.0	30.0	0.0
ALL	Selection	71.73913043478261	80.0	0.0
ALL	Space	68.18181818181819	72.72727272727273	0.0
ALL	Web_design	68.18181818181819	72.72727272727273	0.0
ALL	Consumer	26.470588235294116	32.35294117647059	0.0
ALL	Guide	68.0	68.0	0.0
ALL	Terminology	24.0	28.0	0.0
ALL	Requirement	26.0	34.0	0.0
ALL	Aesthetics	61.76470588235294	66.0	0.0
ALL	Access_control	38.23529411764706	39.473684210526315	0.0
ALL	Heat_transfer	64.70588235294117	64.70588235294117	0.0
ALL	Social_psychology	50.0	50.0	0.0
ALL	SolidWorks	31.818181818181817	22.727272727272727	0.0
ALL	Physical_examination	0.0	60.0	70.0
ALL	Culture	34.0	26.0	0.0
ALL	Engineering	38.095238095238095	28.571428571428573	0.0
ALL	Mass_media	31.818181818181817	50.0	0.0
ALL	Video	76.66666666666667	73.33333333333333	80.0
ALL	Kinematics	67.6470588235294	67.6470588235294	0.0
ALL	Film_editing	70.58823529411765	70.58823529411765	0.0
ALL	Vimeo	57.142857142857146	57.142857142857146	64.28571428571429
ALL	Visual_Basic	50.0	65.78947368421052	0.0
ALL	Persona	47.82608695652174	26.08695652173913	0.0
ALL	Interaction_design	15.217391304347826	19.565217391304348	0.0
ALL	Creativity	56.666666666666664	63.333333333333336	0.0
ALL	Strategy	36.95652173913044	36.95652173913044	0.0
ALL	Blog	50.0	34.21052631578947	0.0
ALL	Methodology	38.0	42.0	0.0
ALL	Teamwork	23.68421052631579	15.217391304347826	0.0
ALL	Digital	71.05263157894737	73.80952380952381	0.0
ALL	Interview	0.0	34.0	0.0
ALL	Mathematics	43.333333333333336	43.333333333333336	0.0
ALL	Electronics	23.68421052631579	26.19047619047619	0.0
ALL	Computer-aided_design	76.3157894736842	50.0	0.0
ALL	Presentation	42.0	42.0	30.0
ALL	Set_theory	50.0	50.0	0.0
ALL	Image_editing	61.111111111111114	61.111111111111114	0.0
ALL	20th_century	76.66666666666667	76.66666666666667	0.0
ALL	Turning	24.0	24.0	0.0
ALL	Paper	62.0	58.0	0.0
ALL	Parallel_computing	52.0	52.0	0.0
ALL	Support_group	34.61538461538461	50.0	0.0
ALL	Task_force	22.727272727272727	22.727272727272727	28.57142857142857
ALL	Quality_of_life	18.42105263157895	39.473684210526315	0.0
ALL	Computer	42.0	18.0	0.0
ALL	Science	18.42105263157895	23.68421052631579	0.0
ALL	Input_device	50.0	50.0	0.0
ALL	User_interface_design	20.58823529411765	20.58823529411765	0.0
ALL	Software_framework	42.0	62.0	0.0
ALL	Customer	44.73684210526316	50.0	0.0
ALL	Mind_map	28.0	28.0	0.0
ALL	Consultant	55.88235294117647	55.88235294117647	0.0
ALL	Data_analysis	20.58823529411765	38.23529411764706	0.0
ALL	Product_lifecycle_management	60.526315789473685	71.05263157894737	0.0
ALL	Future	14.0	22.0	0.0
ALL	Materials_science	50.0	50.0	0.0
ALL	Laboratory	32.35294117647059	34.21052631578947	0.0
ALL	Human_factors_and_ergonomics	29.41176470588235	29.41176470588235	0.0
ALL	Development_studies	66.66666666666667	66.66666666666667	0.0
ALL	Physics	38.0	38.0	0.0
ALL	Source_code	50.0	50.0	0.0
ALL	Essay	59.523809523809526	64.28571428571429	0.0
ALL	Visual_perception	42.0	46.0	0.0
ALL	Behavioural_sciences	30.0	38.0	0.0
ALL	Development_economics	76.3157894736842	78.94736842105263	0.0
ALL	Ableton_Live	0.0	70.0	0.0
ALL	Torque	67.6470588235294	67.6470588235294	0.0
ALL	Switch	31.818181818181817	26.923076923076923	0.0
ALL	Textbook	35.714285714285715	27.77777777777778	0.0
ALL	Weight	57.142857142857146	71.42857142857143	78.57142857142857
ALL	Electric_motor	65.78947368421052	65.78947368421052	0.0
ALL	Academia	0.0	44.73684210526316	0.0
ALL	WordPress	66.66666666666667	55.55555555555556	0.0
ALL	Poster	28.571428571428573	38.095238095238095	63.63636363636363
ALL	Programmer	42.857142857142854	64.28571428571429	64.28571428571429
ALL	Creative_Commons	0.0	78.57142857142857	0.0
tudelft	Interactivity	50.0	54.0	0.0
tudelft	Acceleration	67.6470588235294	67.6470588235294	0.0
tudelft	User_interface	26.470588235294116	50.0	0.0
tudelft	Mass_production	44.11764705882353	50.0	0.0
tudelft	Display_device	50.0	50.0	0.0
tudelft	Digital_photography	61.111111111111114	61.111111111111114	0.0
tudelft	Array_data_structure	0.0	70.0	0.0
tudelft	Broadcast_programming	0.0	42.30769230769231	0.0
tudelft	Innovation	42.0	38.0	0.0
tudelft	Integrated_circuit	36.95652173913044	58.69565217391305	0.0
tudelft	Document	34.0	54.0	0.0
tudelft	Cultural_history	61.111111111111114	50.0	0.0
tudelft	Lecturer	54.34782608695652	70.0	0.0
tudelft	Designer	54.0	54.0	0.0
tudelft	Opportunity_cost	80.43478260869566	80.43478260869566	0.0
tudelft	Business	20.58823529411765	55.88235294117647	0.0
tudelft	Consumer	36.666666666666664	36.666666666666664	0.0
tudelft	Philosophy	52.17391304347826	52.17391304347826	0.0
tudelft	YouTube	66.66666666666667	55.55555555555556	0.0
tudelft	Computer_program	30.0	50.0	0.0
tudelft	Guide	68.0	68.0	0.0
tudelft	Sustainability	80.0	70.0	0.0
tudelft	Cognitive_science	80.43478260869566	80.43478260869566	0.0
tudelft	Diary	70.0	70.0	0.0
tudelft	Physical_exercise	76.66666666666667	79.41176470588235	0.0
tudelft	Statistical_hypothesis_testing	0.0	36.666666666666664	0.0
tudelft	Translation	30.0	32.0	0.0
tudelft	Turning	24.0	24.0	0.0
tudelft	Quality_(business)	73.52941176470588	73.52941176470588	0.0
tudelft	Sound	0.0	56.0	0.0
tudelft	Peer_review	16.666666666666668	38.888888888888886	0.0
tudelft	Regular_expression	79.41176470588235	78.94736842105263	0.0
tudelft	Cognition	0.0	50.0	0.0
tudelft	Iteration	44.0	56.0	0.0
tudelft	Requirement	30.0	46.0	0.0
tudelft	Analysis	70.0	70.0	0.0
tudelft	Simulation	67.3913043478261	67.3913043478261	0.0
tudelft	Project	46.0	54.0	0.0
tudelft	Conversation	0.0	77.27272727272727	0.0
tudelft	New_product_development	58.69565217391305	58.69565217391305	0.0
tudelft	Visual_system	65.78947368421052	70.0	0.0
tudelft	Documentation	50.0	50.0	0.0
tudelft	Mechanical_engineering	61.76470588235294	67.6470588235294	0.0
tudelft	Organization	66.0	50.0	0.0
tudelft	Usability	40.476190476190474	40.476190476190474	0.0
tudelft	Mechanics	55.88235294117647	55.88235294117647	0.0
tudelft	Fashion	0.0	50.0	0.0
tudelft	Local_government	20.0	24.0	0.0
tudelft	Laptop	70.0	70.0	0.0
tudelft	Integral	55.88235294117647	55.88235294117647	0.0
tudelft	Telephone	69.23076923076923	69.23076923076923	0.0
tudelft	Planning	71.73913043478261	71.73913043478261	0.0
tudelft	COBOL	23.91304347826087	54.34782608695652	0.0
tudelft	Index_(publishing)	76.66666666666667	76.66666666666667	0.0
tudelft	Process_control	55.26315789473684	44.73684210526316	0.0
tudelft	Personalization	38.888888888888886	50.0	0.0
tudelft	Search_and_seizure	0.0	78.57142857142857	0.0
tudelft	Case_study	80.0	80.0	0.0
tudelft	Debate	74.0	74.0	0.0
tudelft	Mathematical_analysis	73.52941176470588	71.05263157894737	0.0
tudelft	Customer	60.526315789473685	58.0	0.0
tudelft	Statistics	30.0	30.0	0.0
tudelft	Broadband	62.0	62.0	0.0
tudelft	Product_design	45.65217391304348	66.0	0.0
tudelft	System	50.0	56.0	0.0
tudelft	Human_nature	80.0	80.0	0.0
tudelft	User_experience	35.714285714285715	40.476190476190474	0.0
tudelft	Performance	78.57142857142857	78.57142857142857	0.0
tudelft	Autodidacticism	26.470588235294116	26.470588235294116	0.0
tudelft	Safety	0.0	70.0	0.0
tudelft	Streaming_media	61.111111111111114	61.111111111111114	0.0
tudelft	Economy	72.22222222222223	72.22222222222223	0.0
tudelft	Power_(physics)	79.41176470588235	67.6470588235294	0.0
tudelft	Prototype	38.0	38.0	0.0
tudelft	Risk	0.0	60.0	0.0
tudelft	Programming_tool	50.0	28.94736842105263	0.0
tudelft	Evaluation	46.0	50.0	0.0
tudelft	Tool	46.0	62.0	0.0
tudelft	Prior_art	0.0	79.41176470588235	0.0
tudelft	Construction	0.0	50.0	0.0
tudelft	Consultant	67.6470588235294	67.6470588235294	0.0
tudelft	Report	54.0	66.0	0.0
tudelft	E-learning	30.0	30.0	0.0
tudelft	Marketing_mix	79.41176470588235	79.41176470588235	0.0
tudelft	Software_design	30.0	42.0	0.0
tudelft	Blueprint	0.0	28.0	0.0
tudelft	Electronic_component	38.23529411764706	44.11764705882353	0.0
tudelft	Interaction	80.0	74.0	0.0
tudelft	Observation	67.6470588235294	67.6470588235294	0.0
tudelft	Concept	66.0	74.0	0.0
tudelft	Differential_equation	70.0	70.0	0.0
tudelft	Built_environment	61.76470588235294	61.76470588235294	0.0
tudelft	Attitude_(psychology)	70.58823529411765	70.58823529411765	0.0
tudelft	Systems_analysis	70.58823529411765	70.58823529411765	0.0
tudelft	Short_film	26.19047619047619	26.19047619047619	0.0
tudelft	Commercial_law	66.66666666666667	66.66666666666667	0.0
tudelft	Data_storage_device	38.23529411764706	44.11764705882353	0.0
tudelft	Philosophy_of_science	80.0	70.0	0.0
tudelft	Drawing	42.30769230769231	57.69230769230769	0.0
tudelft	Emotion	66.0	70.0	0.0
tudelft	Motivation	78.94736842105263	73.80952380952381	0.0
tudelft	Selection	76.08695652173913	80.0	0.0
tudelft	Chemical_kinetics	67.6470588235294	67.6470588235294	0.0
tudelft	Group_dynamics	64.28571428571429	71.73913043478261	0.0
tudelft	Image	23.91304347826087	58.0	0.0
tudelft	Nature	35.714285714285715	45.23809523809524	0.0
tudelft	Shape	70.0	63.333333333333336	0.0
tudelft	Adobe_Photoshop	77.27272727272727	77.27272727272727	0.0
tudelft	Design	62.0	58.0	0.0
tudelft	Injection_molding	50.0	50.0	0.0
tudelft	Content_analysis	58.0	62.0	0.0
tudelft	Technology	30.0	18.0	0.0
tudelft	Structured_programming	74.0	80.0	0.0
tudelft	Creative_writing	0.0	70.0	0.0
tudelft	Pastel	61.111111111111114	61.111111111111114	0.0
tudelft	Problem_solving	0.0	80.0	0.0
tudelft	Metal	44.11764705882353	44.11764705882353	0.0
tudelft	Psychology	61.76470588235294	78.94736842105263	0.0
tudelft	Market_research	78.94736842105263	78.94736842105263	0.0
tudelft	Humanities	30.0	38.0	0.0
tudelft	Electricity	67.6470588235294	67.6470588235294	0.0
tudelft	CD-ROM	76.66666666666667	76.66666666666667	0.0
tudelft	Writing	30.0	50.0	0.0
tudelft	Tutor	32.0	32.0	0.0
tudelft	Pragmatism	74.0	70.0	0.0
tudelft	Support_group	68.18181818181819	68.18181818181819	0.0
tudelft	Human_factors_and_ergonomics	47.05882352941177	47.05882352941177	0.0
tudelft	Application_software	45.65217391304348	28.26086956521739	0.0
tudelft	Group_theory	0.0	38.23529411764706	0.0
