Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Interactivity	62.0	66.0	0.0
ALL	User_interface	0.0	32.0	0.0
ALL	Central_heating	50.0	50.0	66.66666666666666
ALL	Evolution	50.0	50.0	0.0
ALL	Making-of	50.0	50.0	0.0
ALL	Language_interpretation	50.0	50.0	0.0
ALL	Innovation	58.0	62.0	0.0
ALL	Integrated_circuit	67.3913043478261	19.565217391304348	0.0
ALL	Document	30.0	26.0	0.0
ALL	Public	30.76923076923077	26.666666666666668	0.0
ALL	Cultural_history	27.77777777777778	72.22222222222223	0.0
ALL	Lecturer	76.08695652173913	66.0	0.0
ALL	Designer	80.0	70.0	0.0
ALL	Philosophy	26.08695652173913	26.08695652173913	0.0
ALL	Game	26.31578947368421	28.571428571428573	28.947368421052634
ALL	Computer_program	61.76470588235294	61.76470588235294	61.111111111111114
ALL	Guide	82.0	80.0	0.0
ALL	Sustainability	22.0	22.0	0.0
ALL	Virtual_reality	50.0	50.0	0.0
ALL	Studio	55.26315789473684	78.94736842105263	70.0
ALL	Physical_exercise	44.73684210526316	50.0	0.0
ALL	Test_method	50.0	50.0	0.0
ALL	Ethics	23.91304347826087	32.608695652173914	0.0
ALL	Problem_solving	30.0	74.0	0.0
ALL	Sound	36.36363636363637	48.0	34.61538461538461
ALL	Knowledge_management	50.0	50.0	0.0
ALL	Industrial_engineering	50.0	50.0	0.0
ALL	Grammar	45.45454545454545	54.54545454545455	0.0
ALL	AOL_Instant_Messenger	46.666666666666664	46.666666666666664	0.0
ALL	Cognition	11.538461538461538	54.0	0.0
ALL	Industry	70.0	76.66666666666667	0.0
ALL	Iteration	62.0	62.0	29.411764705882355
ALL	Analysis	30.0	30.0	0.0
ALL	Simulation	71.73913043478261	80.43478260869566	0.0
ALL	Project	70.0	74.0	0.0
ALL	Conversation	72.22222222222223	50.0	0.0
ALL	New_product_development	36.95652173913044	45.65217391304348	0.0
ALL	Architect	33.333333333333336	33.333333333333336	0.0
ALL	Visual_system	0.0	26.0	0.0
ALL	Organization	54.0	70.0	0.0
ALL	OSI_model	60.0	60.0	0.0
ALL	Usability	80.43478260869566	80.43478260869566	0.0
ALL	Persona	30.434782608695652	56.52173913043478	0.0
ALL	Stimulation	13.157894736842104	13.157894736842104	0.0
ALL	Ecology	50.0	50.0	0.0
ALL	Registered_nurse	50.0	38.888888888888886	0.0
ALL	Target_audience	29.41176470588235	29.41176470588235	0.0
ALL	Calculation	50.0	50.0	0.0
ALL	Local_government	58.0	62.0	0.0
ALL	Integral	14.705882352941176	50.0	0.0
ALL	Quantitative_research	81.57894736842105	78.94736842105263	0.0
ALL	Focus_group	10.0	36.666666666666664	0.0
ALL	Scientific_method	50.0	50.0	0.0
ALL	Planning	19.565217391304348	19.565217391304348	0.0
ALL	COBOL	63.04347826086956	28.26086956521739	0.0
ALL	Process_control	18.42105263157895	23.68421052631579	0.0
ALL	Measurement	34.21052631578947	23.68421052631579	0.0
ALL	Support_group	76.92307692307692	76.92307692307692	0.0
ALL	Flavor	50.0	50.0	0.0
ALL	Software_design	62.0	66.0	0.0
ALL	Case_study	54.0	54.0	0.0
ALL	Debate	26.0	46.0	0.0
ALL	Mathematical_analysis	0.0	23.68421052631579	0.0
ALL	Industrial_design	10.869565217391305	32.608695652173914	28.57142857142857
ALL	Microprocessor	50.0	50.0	0.0
