Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Interactivity	58.0	62.0	55.55555555555556
ALL	User_interface	0.0	42.0	0.0
ALL	Making-of	38.888888888888886	38.888888888888886	0.0
ALL	Qualitative_research	26.470588235294116	20.58823529411765	0.0
ALL	Concept	50.0	46.0	41.17647058823529
ALL	Innovation	34.0	30.0	0.0
ALL	Integrated_circuit	41.30434782608695	15.217391304347826	0.0
ALL	Document	46.0	42.0	0.0
ALL	Public	46.15384615384615	40.0	0.0
ALL	Lecturer	50.0	34.0	0.0
ALL	Designer	18.0	18.0	0.0
ALL	Opportunity_cost	13.043478260869565	21.73913043478261	0.0
ALL	Black_box	60.0	60.0	70.0
ALL	Internship	64.28571428571429	42.857142857142854	0.0
ALL	Philosophy	32.608695652173914	32.608695652173914	0.0
ALL	Photocopier	60.0	60.0	0.0
ALL	Computer_program	41.1764705882353	35.294117647058826	0.0
ALL	Guide	38.0	34.0	0.0
ALL	Concept_art	60.0	60.0	70.0
ALL	Cognitive_science	30.434782608695652	30.434782608695652	0.0
ALL	Studio	36.8421052631579	21.05263157894737	0.0
ALL	Ethics	39.130434782608695	39.130434782608695	0.0
ALL	Graphic_design	70.0	72.22222222222223	66.66666666666666
ALL	Sound	0.0	42.0	0.0
ALL	Grammar	77.27272727272727	40.90909090909091	0.0
ALL	AOL_Instant_Messenger	66.66666666666667	66.66666666666667	0.0
ALL	Cognition	19.23076923076923	42.0	0.0
ALL	Industry	36.666666666666664	36.666666666666664	0.0
ALL	Iteration	70.0	58.0	52.94117647058824
ALL	Speech_synthesis	0.0	50.0	0.0
ALL	Analysis	22.0	22.0	0.0
ALL	Simulation	19.565217391304348	15.217391304347826	0.0
ALL	Project	54.0	50.0	64.28571428571429
ALL	Architect	53.333333333333336	53.333333333333336	0.0
ALL	Visual_system	0.0	26.0	0.0
ALL	Signal_processing	0.0	50.0	0.0
ALL	Organization	42.0	42.0	0.0
ALL	Usability	45.65217391304348	41.30434782608695	0.0
ALL	Ice_hockey	60.0	60.0	70.0
ALL	New_product_development	32.608695652173914	23.91304347826087	0.0
ALL	Registered_nurse	72.22222222222223	72.22222222222223	0.0
ALL	Target_audience	52.94117647058823	47.05882352941177	0.0
ALL	Local_government	80.0	80.0	0.0
ALL	Product_design	38.0	30.0	18.181818181818183
ALL	Pronunciation	50.0	50.0	0.0
ALL	Competition	53.333333333333336	46.666666666666664	0.0
ALL	Projection_screen	60.0	60.0	70.0
ALL	Planning	15.217391304347826	15.217391304347826	0.0
ALL	COBOL	45.65217391304348	23.91304347826087	0.0
ALL	Storyboard	64.28571428571429	78.57142857142857	80.0
ALL	Measurement	68.42105263157895	68.42105263157895	38.88888888888889
ALL	Actuator	60.0	60.0	70.0
ALL	Sport	0.0	30.0	80.0
ALL	Case_study	14.0	18.0	0.0
ALL	Debate	12.0	24.0	0.0
ALL	Scenario_(computing)	50.0	50.0	66.66666666666666
ALL	Graphic_designer	53.333333333333336	53.333333333333336	0.0
ALL	Broadband	34.0	34.0	0.0
ALL	System	14.0	18.0	0.0
ALL	Human_nature	12.0	30.0	0.0
ALL	Initiation	36.36363636363637	36.36363636363637	0.0
ALL	Cooperation	34.61538461538461	26.923076923076923	0.0
ALL	User_experience	69.04761904761905	69.04761904761905	66.66666666666666
ALL	International	47.36842105263158	47.36842105263158	0.0
ALL	Digital_signage	73.07692307692308	73.07692307692308	0.0
ALL	Parameter	50.0	36.666666666666664	0.0
ALL	Sheet_music	50.0	50.0	0.0
ALL	Nature	70.0	58.0	0.0
ALL	Group_theory	70.0	26.470588235294116	0.0
ALL	Risk	0.0	40.0	0.0
ALL	Culture	42.0	42.0	0.0
ALL	Meeting	18.0	22.0	0.0
ALL	Collaboration	61.76470588235294	55.88235294117647	70.0
ALL	Language_acquisition	50.0	50.0	0.0
ALL	Postcard	60.0	60.0	70.0
ALL	Game	76.3157894736842	66.66666666666667	71.05263157894737
ALL	Construction	0.0	59.09090909090909	0.0
ALL	Menopause	23.076923076923077	19.23076923076923	0.0
ALL	Report	30.0	34.0	0.0
ALL	Software_design	78.0	74.0	0.0
ALL	Website	14.0	14.0	0.0
ALL	Packaging_and_labeling	50.0	30.0	0.0
ALL	Interaction	42.0	30.0	28.57142857142857
ALL	Algorithm	0.0	50.0	0.0
ALL	Developmental_psychology	23.333333333333332	23.333333333333332	0.0
ALL	Differential_equation	22.0	22.0	0.0
ALL	Record_producer	0.0	50.0	0.0
ALL	Short_film	59.523809523809526	54.76190476190476	0.0
ALL	Perception	22.0	74.0	0.0
ALL	Content_analysis	12.0	46.0	0.0
ALL	Philosophy_of_science	28.0	32.0	0.0
ALL	Patent_application	35.714285714285715	35.714285714285715	0.0
ALL	Emotion	14.0	30.0	0.0
ALL	Medical_equipment	50.0	50.0	0.0
ALL	Motivation	0.0	21.428571428571427	0.0
ALL	Aesthetics	0.0	42.0	0.0
ALL	Weight	57.142857142857146	35.714285714285715	50.0
