Origin	Ann_ID	Skill	Knowledge	Interest
website	Orchestra	50.0	50.0	66.66666666666666
website	Designer	50.0	50.0	66.66666666666666
website	Design	30.0	50.0	40.0
website	Interaction	30.0	30.0	40.0
website	Double_bass	50.0	50.0	66.66666666666666
ALL	Interactivity	22.0	18.0	0.0
ALL	Autonomy	60.0	60.0	70.0
ALL	User_interface	0.0	32.0	0.0
ALL	Making-of	61.111111111111114	61.111111111111114	0.0
ALL	Qualitative_research	26.470588235294116	20.58823529411765	0.0
ALL	Innovation	54.0	50.0	0.0
ALL	Integrated_circuit	76.08695652173913	41.30434782608695	64.28571428571429
ALL	Document	22.0	22.0	0.0
ALL	Public	19.23076923076923	16.666666666666668	0.0
ALL	Lecturer	63.04347826086956	58.0	0.0
ALL	Selection	80.43478260869566	74.0	66.66666666666666
ALL	Designer	62.0	80.0	77.77777777777779
ALL	Opportunity_cost	13.043478260869565	21.73913043478261	0.0
ALL	Philosophy	63.04347826086956	63.04347826086956	0.0
ALL	Photocopier	60.0	60.0	0.0
ALL	Computer_program	41.1764705882353	35.294117647058826	0.0
ALL	Guide	68.0	68.0	0.0
ALL	Soundtrack	50.0	50.0	66.66666666666666
ALL	Sustainability	10.0	10.0	0.0
ALL	Cognitive_science	30.434782608695652	30.434782608695652	0.0
ALL	Double_bass	50.0	50.0	66.66666666666666
ALL	Ethics	45.65217391304348	45.65217391304348	0.0
ALL	Relaxation_technique	70.0	30.0	70.0
ALL	Competitiveness	61.76470588235294	50.0	0.0
ALL	Sound	36.36363636363637	74.0	61.53846153846154
ALL	Customer	23.68421052631579	38.0	0.0
ALL	Presentation_program	50.0	50.0	66.66666666666666
ALL	AOL_Instant_Messenger	36.666666666666664	30.0	0.0
ALL	Cognition	42.30769230769231	58.0	0.0
ALL	Industry	36.666666666666664	36.666666666666664	0.0
ALL	Iteration	54.0	54.0	29.411764705882355
ALL	Analysis	26.0	26.0	0.0
ALL	Simulation	50.0	45.65217391304348	70.0
ALL	Project	30.0	34.0	0.0
ALL	Architect	76.66666666666667	76.66666666666667	0.0
ALL	Visual_system	28.94736842105263	58.0	0.0
ALL	Organization	34.0	34.0	0.0
ALL	Usability	41.30434782608695	36.95652173913044	0.0
ALL	New_product_development	54.34782608695652	36.95652173913044	0.0
ALL	Market_share	30.0	30.0	0.0
ALL	Registered_nurse	50.0	38.888888888888886	0.0
ALL	Target_audience	20.58823529411765	20.58823529411765	0.0
ALL	Local_government	70.0	70.0	0.0
ALL	Product_design	14.0	14.0	0.0
ALL	Telephone	16.666666666666668	56.666666666666664	78.57142857142857
ALL	Surface	21.428571428571427	21.428571428571427	40.0
ALL	Focus_group	26.666666666666668	20.0	31.818181818181817
ALL	Planning	71.73913043478261	71.73913043478261	81.81818181818183
ALL	COBOL	32.608695652173914	15.217391304347826	0.0
ALL	Usability_testing	50.0	40.90909090909091	61.111111111111114
ALL	Measurement	28.94736842105263	13.157894736842104	0.0
ALL	Safety	0.0	54.0	0.0
ALL	Case_study	22.0	30.0	0.0
ALL	Debate	12.0	24.0	0.0
ALL	Graphic_designer	76.66666666666667	76.66666666666667	0.0
ALL	Broadband	62.0	62.0	0.0
ALL	System	50.0	54.0	28.57142857142857
ALL	Textile	0.0	50.0	66.66666666666666
ALL	Interaction	34.0	46.0	42.857142857142854
ALL	Initiation	68.18181818181819	68.18181818181819	0.0
ALL	Competition	53.333333333333336	46.666666666666664	0.0
ALL	Cooperation	50.0	42.30769230769231	0.0
ALL	User_experience	78.57142857142857	64.28571428571429	66.66666666666666
ALL	International	36.8421052631579	36.8421052631579	0.0
ALL	Digital_signage	34.61538461538461	34.61538461538461	0.0
ALL	Parameter	56.666666666666664	43.333333333333336	0.0
ALL	Risk	50.0	74.0	0.0
ALL	Meeting	54.0	80.0	73.33333333333333
ALL	Collaboration	14.705882352941176	14.705882352941176	0.0
ALL	Material	0.0	38.888888888888886	27.77777777777778
ALL	Game	26.31578947368421	28.571428571428573	28.947368421052634
ALL	Supply_chain	35.714285714285715	35.714285714285715	0.0
ALL	Menopause	57.69230769230769	42.30769230769231	0.0
ALL	Mission_statement	65.78947368421052	23.68421052631579	0.0
ALL	Report	18.0	20.0	0.0
ALL	Future	46.0	50.0	0.0
ALL	Software_design	58.0	62.0	0.0
ALL	Website	38.0	38.0	0.0
ALL	Human_nature	12.0	42.0	0.0
ALL	Developmental_psychology	43.333333333333336	50.0	0.0
ALL	Differential_equation	26.0	30.0	0.0
ALL	Budget	70.0	70.0	66.66666666666666
ALL	Computer_programming	72.72727272727273	30.76923076923077	61.53846153846154
ALL	Management_consulting	50.0	50.0	0.0
ALL	Electronic_media	30.0	30.0	0.0
ALL	Content_analysis	12.0	38.0	0.0
ALL	Philosophy_of_science	28.0	32.0	0.0
ALL	Property	0.0	50.0	0.0
ALL	Microsoft	30.0	70.0	60.0
ALL	Patent_application	64.28571428571429	64.28571428571429	0.0
ALL	Emotion	22.0	42.0	0.0
ALL	Motivation	23.68421052631579	26.19047619047619	0.0
ALL	Control_theory	50.0	50.0	66.66666666666666
ALL	Short_film	45.23809523809524	45.23809523809524	0.0
ALL	Group_dynamics	28.571428571428573	17.391304347826086	0.0
ALL	Image	50.0	54.0	0.0
ALL	Nature	62.0	54.0	0.0
ALL	Argument	40.0	46.666666666666664	0.0
ALL	Shape	14.705882352941176	32.35294117647059	33.33333333333333
ALL	Paper	26.0	14.0	0.0
ALL	Design	46.0	46.0	64.0
ALL	Chair	70.0	70.0	66.66666666666666
ALL	Technology	58.0	54.0	54.54545454545454
ALL	Structured_programming	16.0	28.0	0.0
ALL	Psychology	32.35294117647059	44.73684210526316	0.0
ALL	Humanities	62.0	62.0	0.0
ALL	Justice	68.18181818181819	68.18181818181819	0.0
ALL	DVD	50.0	50.0	66.66666666666666
ALL	Review	0.0	50.0	0.0
ALL	Writing	30.0	22.0	0.0
ALL	Stimulation	34.21052631578947	44.73684210526316	0.0
ALL	Tutor	50.0	54.0	0.0
ALL	Quantitative_research	18.42105263157895	23.68421052631579	0.0
ALL	Experiment	35.714285714285715	35.714285714285715	0.0
ALL	Millennium	35.714285714285715	71.42857142857143	64.28571428571429
ALL	Application_software	23.91304347826087	36.95652173913044	0.0
ALL	Prototype	80.0	80.0	82.0
ALL	Evaluation	34.0	30.0	0.0
ALL	Awareness	0.0	30.0	0.0
ALL	Blueprint	0.0	68.0	0.0
ALL	International_student	36.36363636363637	30.76923076923077	0.0
ALL	Perception	18.0	30.0	0.0
ALL	Scientific_modelling	63.63636363636363	61.53846153846154	0.0
ALL	Industrial_design	19.565217391304348	10.869565217391305	0.0
ALL	Problem_solving	0.0	32.0	0.0
ALL	Implementation	11.904761904761905	16.666666666666668	0.0
ALL	Accompaniment	74.0	74.0	0.0
ALL	Plan	66.0	50.0	56.666666666666664
ALL	Child	30.76923076923077	30.76923076923077	0.0
ALL	Studio	78.94736842105263	65.78947368421052	70.0
ALL	Conflict_resolution	36.8421052631579	26.31578947368421	0.0
ALL	Embedded_system	30.0	30.0	0.0
ALL	Column	50.0	50.0	66.66666666666666
ALL	Aesthetics	0.0	38.0	0.0
ALL	Translation	58.0	46.0	0.0
ALL	Terminology	50.0	58.0	0.0
ALL	Kinect	30.0	70.0	70.0
ALL	Requirement	50.0	46.0	0.0
ALL	Knowledge_transfer	36.666666666666664	36.666666666666664	0.0
ALL	Electric_motor	50.0	23.68421052631579	66.66666666666666
ALL	Globalization	44.11764705882353	28.26086956521739	0.0
ALL	Culture	26.0	22.0	0.0
ALL	Engineering	16.666666666666668	21.428571428571427	0.0
ALL	Camera	0.0	50.0	28.57142857142857
ALL	Video	53.333333333333336	46.666666666666664	53.333333333333336
ALL	Sense	50.0	64.28571428571429	57.14285714285714
ALL	Internationalization	46.666666666666664	46.666666666666664	0.0
ALL	Feasibility_study	16.666666666666668	22.727272727272727	0.0
ALL	Seminar	33.333333333333336	40.0	0.0
ALL	Discipline	70.0	70.0	0.0
ALL	Publishing	60.0	42.857142857142854	0.0
ALL	Interaction_design	10.869565217391305	45.65217391304348	22.22222222222222
ALL	Corporation	67.6470588235294	67.6470588235294	0.0
ALL	Digital	0.0	40.476190476190474	66.66666666666666
ALL	Orchestra	50.0	50.0	66.66666666666666
ALL	Outsourcing	46.666666666666664	46.666666666666664	0.0
ALL	Strategy	28.26086956521739	15.217391304347826	0.0
ALL	Blog	26.31578947368421	42.10526315789474	0.0
ALL	Policy	47.05882352941177	47.05882352941177	0.0
ALL	Methodology	22.0	30.0	0.0
ALL	Teamwork	47.36842105263158	34.78260869565217	0.0
ALL	Performance	12.0	16.0	46.15384615384615
ALL	Interview	0.0	18.0	0.0
ALL	Parallel_computing	52.0	52.0	0.0
ALL	Quality_of_life	65.78947368421052	55.26315789473684	0.0
ALL	Ad_hoc	42.30769230769231	42.30769230769231	0.0
ALL	Smartphone	50.0	50.0	66.66666666666666
ALL	Turning	70.0	70.0	0.0
ALL	Gear	0.0	50.0	66.66666666666666
ALL	Presentation	58.0	58.0	66.66666666666666
ALL	Task_force	77.27272727272727	77.27272727272727	78.57142857142857
ALL	Pragmatism	38.0	42.0	0.0
ALL	Computer	66.0	54.0	40.0
ALL	Assembly_line	0.0	50.0	40.0
ALL	Software_framework	38.0	54.0	0.0
ALL	Academic_publishing	69.04761904761905	78.57142857142857	0.0
ALL	Mind_map	68.0	68.0	0.0
ALL	Artist	76.66666666666667	76.66666666666667	0.0
ALL	Country	46.666666666666664	46.666666666666664	0.0
ALL	New_media	30.0	30.0	0.0
ALL	Fair_trade	46.666666666666664	46.666666666666664	0.0
ALL	Persona	19.565217391304348	45.65217391304348	0.0
ALL	Reinforcement	50.0	50.0	66.66666666666666
ALL	Explosion	38.23529411764706	20.58823529411765	0.0
ALL	Physics	26.0	74.0	66.66666666666666
ALL	Essay	35.714285714285715	26.19047619047619	0.0
ALL	Concept	38.0	42.0	23.52941176470588
ALL	Visual_perception	58.0	58.0	33.33333333333333
ALL	Behavioural_sciences	62.0	62.0	0.0
ALL	Breathing	60.0	60.0	70.0
ALL	Cultural_identity	28.94736842105263	28.94736842105263	0.0
ALL	Hardware	23.68421052631579	34.21052631578947	0.0
ALL	Academia	23.333333333333332	23.68421052631579	0.0
ALL	Video_editing	50.0	50.0	66.66666666666666
ALL	Poster	28.571428571428573	38.095238095238095	63.63636363636363
ALL	Source_code	34.21052631578947	26.19047619047619	0.0
ALL	Tool	26.0	18.0	0.0
tudelft	Interactivity	42.0	38.0	0.0
tudelft	User_interface	0.0	32.0	0.0
tudelft	Making-of	61.111111111111114	61.111111111111114	0.0
tudelft	Interaction_design	23.91304347826087	28.26086956521739	0.0
tudelft	Innovation	66.0	58.0	0.0
tudelft	Integrated_circuit	32.608695652173914	19.565217391304348	0.0
tudelft	Document	26.0	26.0	0.0
tudelft	Public	19.23076923076923	23.333333333333332	0.0
tudelft	Lecturer	63.04347826086956	58.0	0.0
tudelft	Designer	34.0	46.0	0.0
tudelft	Opportunity_cost	13.043478260869565	21.73913043478261	0.0
tudelft	Philosophy	63.04347826086956	63.04347826086956	0.0
tudelft	Photocopier	60.0	60.0	0.0
tudelft	Computer_program	66.66666666666667	40.0	0.0
tudelft	Sustainability	14.0	22.0	0.0
tudelft	Cognitive_science	30.434782608695652	30.434782608695652	0.0
tudelft	Studio	71.05263157894737	50.0	0.0
tudelft	Ethics	45.65217391304348	45.65217391304348	0.0
tudelft	Competitiveness	61.76470588235294	50.0	0.0
tudelft	Sound	0.0	56.0	0.0
tudelft	AOL_Instant_Messenger	36.666666666666664	30.0	0.0
tudelft	Cognition	68.18181818181819	80.0	0.0
tudelft	Industry	36.666666666666664	36.666666666666664	0.0
tudelft	Iteration	62.0	66.0	0.0
tudelft	Analysis	34.0	30.0	0.0
tudelft	Simulation	19.565217391304348	19.565217391304348	0.0
tudelft	Project	62.0	62.0	0.0
tudelft	Architect	76.66666666666667	76.66666666666667	0.0
tudelft	Visual_system	39.473684210526315	62.0	0.0
tudelft	Organization	34.0	34.0	0.0
tudelft	Usability	50.0	50.0	0.0
tudelft	New_product_development	63.04347826086956	45.65217391304348	0.0
tudelft	Market_share	30.0	30.0	0.0
tudelft	Registered_nurse	50.0	38.888888888888886	0.0
tudelft	Target_audience	34.61538461538461	34.61538461538461	0.0
tudelft	Local_government	70.0	70.0	0.0
tudelft	Product_design	28.26086956521739	38.0	0.0
tudelft	Competition	53.333333333333336	46.666666666666664	0.0
tudelft	Supply_chain	30.0	30.0	0.0
tudelft	COBOL	32.608695652173914	15.217391304347826	0.0
tudelft	Measurement	44.11764705882353	20.58823529411765	0.0
tudelft	Case_study	26.0	42.0	0.0
tudelft	Debate	12.0	24.0	0.0
tudelft	Customer	34.21052631578947	46.0	0.0
tudelft	Broadband	62.0	62.0	0.0
tudelft	System	50.0	56.0	0.0
tudelft	Interaction	34.0	42.0	0.0
tudelft	Initiation	68.18181818181819	68.18181818181819	0.0
tudelft	Cooperation	50.0	42.30769230769231	0.0
tudelft	User_experience	50.0	50.0	0.0
tudelft	International	47.05882352941177	47.05882352941177	0.0
tudelft	Digital_signage	34.61538461538461	34.61538461538461	0.0
tudelft	Parameter	56.666666666666664	43.333333333333336	0.0
tudelft	Risk	50.0	74.0	0.0
tudelft	Evaluation	38.0	34.0	0.0
tudelft	Collaboration	38.23529411764706	26.470588235294116	0.0
tudelft	Planning	23.91304347826087	23.91304347826087	0.0
tudelft	Menopause	57.69230769230769	42.30769230769231	0.0
tudelft	Country	46.666666666666664	46.666666666666664	0.0
tudelft	Report	18.0	20.0	0.0
tudelft	Software_design	62.0	62.0	0.0
tudelft	Blueprint	0.0	68.0	0.0
tudelft	Human_nature	28.0	54.0	0.0
tudelft	Developmental_psychology	65.38461538461539	76.92307692307692	0.0
tudelft	Differential_equation	38.0	38.0	0.0
tudelft	Management_consulting	50.0	50.0	0.0
tudelft	Perception	26.0	30.0	0.0
tudelft	Content_analysis	12.0	38.0	0.0
tudelft	Philosophy_of_science	28.0	32.0	0.0
tudelft	Property	0.0	50.0	0.0
tudelft	Patent_application	64.28571428571429	64.28571428571429	0.0
tudelft	Emotion	42.0	74.0	0.0
tudelft	Motivation	34.21052631578947	50.0	0.0
tudelft	Aesthetics	0.0	38.0	0.0
tudelft	Short_film	45.23809523809524	45.23809523809524	0.0
tudelft	Group_dynamics	38.095238095238095	19.565217391304348	0.0
tudelft	Image	67.3913043478261	62.0	0.0
tudelft	Industrial_design	36.95652173913044	19.565217391304348	0.0
tudelft	Argument	40.0	46.666666666666664	0.0
tudelft	Paper	38.0	26.0	0.0
tudelft	Design	42.0	42.0	0.0
tudelft	Technology	34.0	34.0	0.0
tudelft	Structured_programming	16.0	28.0	0.0
tudelft	Psychology	32.35294117647059	44.73684210526316	0.0
tudelft	Humanities	62.0	62.0	0.0
tudelft	Justice	68.18181818181819	68.18181818181819	0.0
tudelft	Review	0.0	59.09090909090909	0.0
tudelft	Writing	38.0	30.0	0.0
tudelft	Stimulation	63.333333333333336	70.0	0.0
tudelft	Tutor	70.0	74.0	0.0
tudelft	Quantitative_research	28.94736842105263	28.94736842105263	0.0
tudelft	Experiment	35.714285714285715	35.714285714285715	0.0
tudelft	Safety	0.0	70.0	0.0
tudelft	Application_software	28.26086956521739	41.30434782608695	0.0
tudelft	Prototype	62.0	54.0	0.0
tudelft	Meeting	54.0	50.0	0.0
tudelft	Awareness	0.0	54.0	0.0
tudelft	Website	62.0	54.0	0.0
tudelft	International_student	59.09090909090909	34.61538461538461	0.0
tudelft	Electronic_media	30.0	30.0	0.0
tudelft	Scientific_modelling	63.63636363636363	61.53846153846154	0.0
tudelft	Nature	59.523809523809526	50.0	0.0
tudelft	Problem_solving	0.0	32.0	0.0
tudelft	Implementation	21.428571428571427	26.19047619047619	0.0
tudelft	Translation	58.0	62.0	0.0
tudelft	Accompaniment	74.0	74.0	0.0
tudelft	Plan	32.608695652173914	28.26086956521739	0.0
tudelft	Child	64.28571428571429	64.28571428571429	0.0
tudelft	Conflict_resolution	44.73684210526316	34.21052631578947	0.0
tudelft	Embedded_system	30.0	30.0	0.0
tudelft	Selection	36.95652173913044	30.0	0.0
tudelft	Strategy	41.30434782608695	28.26086956521739	0.0
tudelft	Guide	68.0	68.0	0.0
tudelft	Terminology	50.0	58.0	0.0
tudelft	Requirement	66.0	58.0	0.0
tudelft	Knowledge_transfer	36.666666666666664	36.666666666666664	0.0
tudelft	Methodology	30.0	38.0	0.0
tudelft	Culture	42.0	42.0	0.0
tudelft	Engineering	21.428571428571427	30.952380952380953	0.0
tudelft	Internationalization	46.666666666666664	46.666666666666664	0.0
tudelft	Feasibility_study	35.714285714285715	38.888888888888886	0.0
tudelft	Seminar	33.333333333333336	40.0	0.0
tudelft	Discipline	70.0	70.0	0.0
tudelft	Graphic_designer	76.66666666666667	76.66666666666667	0.0
tudelft	Publishing	60.0	42.857142857142854	0.0
tudelft	Qualitative_research	26.470588235294116	20.58823529411765	0.0
tudelft	Corporation	67.6470588235294	67.6470588235294	0.0
tudelft	Outsourcing	46.666666666666664	46.666666666666664	0.0
tudelft	Pragmatism	38.0	42.0	0.0
tudelft	Blog	35.294117647058826	47.05882352941177	0.0
tudelft	Interview	0.0	26.0	0.0
tudelft	Globalization	44.11764705882353	28.26086956521739	0.0
tudelft	Teamwork	55.26315789473684	36.95652173913044	0.0
tudelft	Policy	47.05882352941177	47.05882352941177	0.0
tudelft	Parallel_computing	52.0	52.0	0.0
tudelft	Quality_of_life	78.94736842105263	71.05263157894737	0.0
tudelft	Ad_hoc	42.30769230769231	42.30769230769231	0.0
tudelft	Persona	19.565217391304348	45.65217391304348	0.0
tudelft	Turning	70.0	70.0	0.0
tudelft	Presentation	46.0	34.0	0.0
tudelft	Computer	38.0	50.0	0.0
tudelft	Software_framework	38.0	54.0	0.0
tudelft	Academic_publishing	69.04761904761905	78.57142857142857	0.0
tudelft	Mind_map	68.0	68.0	0.0
tudelft	Artist	76.66666666666667	76.66666666666667	0.0
tudelft	Mission_statement	65.78947368421052	23.68421052631579	0.0
tudelft	New_media	30.0	30.0	0.0
