Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Interactivity	34.0	26.0	0.0
ALL	Acceleration	55.88235294117647	61.76470588235294	0.0
ALL	User_interface	67.6470588235294	74.0	0.0
ALL	Mass_production	73.52941176470588	67.6470588235294	0.0
ALL	Vision_in_Product_Design	38.888888888888886	38.888888888888886	0.0
ALL	Plastic	0.0	42.857142857142854	50.0
ALL	Topical	50.0	50.0	66.66666666666666
ALL	Digital_photography	38.888888888888886	38.888888888888886	0.0
ALL	Broadcast_programming	0.0	76.92307692307692	0.0
ALL	Innovation	82.0	82.0	66.66666666666666
ALL	Integrated_circuit	80.43478260869566	36.95652173913044	64.28571428571429
ALL	Document	10.0	14.0	0.0
ALL	Role_model	50.0	50.0	70.0
ALL	Lecturer	26.08695652173913	44.0	0.0
ALL	Designer	54.0	42.0	22.22222222222222
ALL	Opportunity_cost	63.04347826086956	63.04347826086956	0.0
ALL	Business	61.76470588235294	79.41176470588235	0.0
ALL	Internship	64.28571428571429	42.857142857142854	0.0
ALL	Philosophy	52.17391304347826	52.17391304347826	0.0
ALL	YouTube	77.27272727272727	31.818181818181817	66.66666666666666
ALL	Heat	42.857142857142854	42.857142857142854	0.0
ALL	Computer_program	14.705882352941176	79.41176470588235	61.111111111111114
ALL	Kinematics	55.88235294117647	61.76470588235294	0.0
ALL	Sustainability	58.0	80.0	78.57142857142857
ALL	Cognitive_science	50.0	54.34782608695652	0.0
ALL	Studio	28.94736842105263	44.73684210526316	0.0
ALL	Physical_exercise	60.526315789473685	39.473684210526315	0.0
ALL	Statistical_hypothesis_testing	0.0	76.66666666666667	0.0
ALL	Translation	30.0	38.0	0.0
ALL	Turning	42.0	42.0	0.0
ALL	CD-ROM	63.333333333333336	63.333333333333336	0.0
ALL	Quality_(business)	73.52941176470588	73.52941176470588	0.0
ALL	Competitiveness	29.41176470588235	35.294117647058826	0.0
ALL	Sound	36.36363636363637	58.0	34.61538461538461
ALL	Customer	81.57894736842105	78.0	0.0
ALL	Community_service	50.0	50.0	0.0
ALL	Regular_expression	26.470588235294116	28.94736842105263	0.0
ALL	Cognition	0.0	28.0	0.0
ALL	Measurement	50.0	55.26315789473684	72.22222222222221
ALL	Iteration	48.0	44.0	29.411764705882355
ALL	Consumer_behaviour	30.0	30.0	0.0
ALL	Analysis	54.0	50.0	0.0
ALL	Simulation	58.69565217391305	54.34782608695652	0.0
ALL	Project	66.0	70.0	0.0
ALL	Magazine	71.42857142857143	35.714285714285715	66.66666666666666
ALL	Fashion	0.0	61.111111111111114	80.0
ALL	Visual_system	71.05263157894737	82.0	0.0
ALL	Data_analysis	52.94117647058823	70.58823529411765	0.0
ALL	Mechanical_engineering	38.23529411764706	55.88235294117647	0.0
ALL	Organization	30.0	26.0	0.0
ALL	Estimation	50.0	50.0	0.0
ALL	Rapid_prototyping	70.0	70.0	0.0
ALL	Mechanics	50.0	50.0	0.0
ALL	Microsoft_Visio	50.0	50.0	66.66666666666666
ALL	Smart_meter	50.0	50.0	66.66666666666666
