Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Interactivity	58.0	70.0	42.857142857142854
ALL	Acceleration	26.470588235294116	26.470588235294116	0.0
ALL	User_interface	35.294117647058826	60.0	0.0
ALL	Mass_production	50.0	44.11764705882353	0.0
ALL	Departmentalization	50.0	50.0	0.0
ALL	Display_device	68.18181818181819	68.18181818181819	0.0
ALL	Digital_photography	61.111111111111114	61.111111111111114	0.0
ALL	Qualitative_research	67.6470588235294	50.0	0.0
ALL	Innovation	66.0	70.0	0.0
ALL	Microeconomics	50.0	50.0	0.0
ALL	Integrated_circuit	23.91304347826087	32.608695652173914	0.0
ALL	Document	42.0	38.0	0.0
ALL	Human_resource_management	50.0	50.0	0.0
ALL	Lecturer	26.08695652173913	44.0	0.0
ALL	Designer	46.0	62.0	0.0
ALL	Corporate_identity	50.0	50.0	0.0
ALL	Opportunity_cost	58.69565217391305	58.69565217391305	0.0
ALL	Business	73.52941176470588	67.6470588235294	0.0
ALL	Consumer	20.58823529411765	26.470588235294116	0.0
ALL	Philosophy	43.47826086956522	43.47826086956522	0.0
ALL	User_experience	59.523809523809526	69.04761904761905	0.0
ALL	Behavioural_sciences	30.0	38.0	0.0
ALL	Field_of_view	50.0	50.0	66.66666666666666
ALL	Cognitive_science	50.0	54.34782608695652	0.0
ALL	Studio	23.68421052631579	28.94736842105263	0.0
ALL	Physical_exercise	13.157894736842104	31.57894736842105	0.0
ALL	Bidding	50.0	50.0	0.0
ALL	Materials_science	38.23529411764706	38.23529411764706	0.0
ALL	Translation	30.0	34.0	0.0
ALL	Quality_(business)	73.52941176470588	73.52941176470588	0.0
ALL	Film_editing	70.58823529411765	70.58823529411765	0.0
ALL	Sound	0.0	30.0	0.0
ALL	Peer_review	61.111111111111114	27.77777777777778	0.0
ALL	Scenario	0.0	70.0	70.0
ALL	Regular_expression	38.23529411764706	39.473684210526315	0.0
ALL	Joke	70.0	50.0	70.0
ALL	Industry	76.66666666666667	63.333333333333336	0.0
ALL	Iteration	48.0	44.0	29.411764705882355
ALL	Requirement	66.0	74.0	64.28571428571429
ALL	Analysis	70.0	74.0	40.0
ALL	Student_society	50.0	50.0	0.0
ALL	Project	46.0	62.0	0.0
ALL	Technician	60.0	60.0	0.0
ALL	Dinner	50.0	50.0	66.66666666666666
ALL	Visual_system	65.78947368421052	70.0	0.0
ALL	Mechanical_engineering	55.88235294117647	44.11764705882353	0.0
ALL	Organization	74.0	78.0	0.0
ALL	Minutes	50.0	50.0	0.0
ALL	Wind	50.0	50.0	66.66666666666666
ALL	Usability	67.3913043478261	67.3913043478261	0.0
ALL	Mechanics	32.35294117647059	32.35294117647059	0.0
ALL	New_product_development	28.26086956521739	41.30434782608695	0.0
ALL	Trend_Micro	0.0	50.0	0.0
ALL	Scientific_method	71.42857142857143	35.714285714285715	0.0
ALL	Local_government	30.0	30.0	0.0
ALL	Product_design	42.0	46.0	0.0
ALL	Telephone	50.0	43.333333333333336	0.0
ALL	Marketing_research	50.0	50.0	0.0
ALL	Focus_group	36.666666666666664	30.0	0.0
ALL	Audit	0.0	50.0	0.0
ALL	Planning	28.26086956521739	28.26086956521739	0.0
ALL	COBOL	15.217391304347826	32.608695652173914	0.0
ALL	Index_(publishing)	63.333333333333336	63.333333333333336	0.0
ALL	Process_control	65.78947368421052	60.526315789473685	0.0
ALL	Built_environment	67.6470588235294	73.52941176470588	0.0
ALL	Quality_control	50.0	50.0	0.0
ALL	Case_study	66.0	50.0	0.0
ALL	Debate	80.0	80.0	0.0
ALL	Teaching_assistant	50.0	50.0	0.0
ALL	Mathematical_analysis	44.11764705882353	44.73684210526316	0.0
ALL	Classroom	21.428571428571427	50.0	0.0
ALL	Statistics	73.33333333333333	73.33333333333333	0.0
ALL	Broadband	48.0	48.0	0.0
ALL	Integral	61.76470588235294	61.76470588235294	0.0
ALL	System	38.0	46.0	0.0
ALL	Corporate_governance	50.0	50.0	0.0
ALL	Presentation	38.0	54.0	33.33333333333333
ALL	Interaction	70.0	74.0	69.04761904761905
ALL	Competition	76.66666666666667	70.0	0.0
ALL	Senior_management	43.333333333333336	43.333333333333336	0.0
ALL	Consensus_decision-making	50.0	50.0	0.0
ALL	Set_theory	60.0	60.0	0.0
ALL	Research_and_development	50.0	50.0	0.0
ALL	Streaming_media	61.111111111111114	61.111111111111114	0.0
ALL	User_interface_design	29.41176470588235	29.41176470588235	0.0
ALL	Power_(physics)	23.529411764705884	23.529411764705884	0.0
ALL	Nature	22.0	22.0	0.0
ALL	Group_theory	0.0	70.58823529411765	0.0
ALL	Shopping	21.428571428571427	35.714285714285715	0.0
ALL	Risk	0.0	60.0	0.0
ALL	Performance_management	50.0	50.0	0.0
ALL	Programming_tool	65.78947368421052	65.78947368421052	0.0
ALL	Development_economics	42.10526315789474	36.8421052631579	0.0
ALL	Tool	50.0	46.0	0.0
ALL	Game_theory	50.0	30.0	0.0
ALL	Prior_art	0.0	44.11764705882353	0.0
ALL	Game	44.73684210526316	54.76190476190476	0.0
ALL	Mission_statement	23.68421052631579	39.473684210526315	0.0
ALL	Report	66.0	70.0	0.0
ALL	Financial_statement	50.0	50.0	0.0
ALL	E-learning	73.33333333333333	73.33333333333333	0.0
ALL	Musical_ensemble	50.0	50.0	0.0
ALL	Marketing_mix	41.1764705882353	41.1764705882353	0.0
ALL	Software_design	18.0	26.0	0.0
ALL	Strategic_management	50.0	50.0	0.0
ALL	Electronic_component	47.05882352941177	52.94117647058823	0.0
ALL	Human_nature	28.0	56.0	0.0
ALL	Observation	78.94736842105263	71.05263157894737	72.72727272727273
ALL	Meeting	50.0	62.0	36.666666666666664
ALL	Differential_equation	48.0	44.0	0.0
ALL	Market_research	39.473684210526315	39.473684210526315	0.0
ALL	Attitude_(psychology)	70.58823529411765	70.58823529411765	0.0
ALL	Systems_analysis	41.1764705882353	41.1764705882353	0.0
ALL	Short_film	54.76190476190476	64.28571428571429	0.0
ALL	Sand	50.0	50.0	66.66666666666666
ALL	Perception	42.0	38.0	0.0
ALL	Commercial_law	38.888888888888886	38.888888888888886	0.0
ALL	Data_storage_device	47.05882352941177	52.94117647058823	0.0
ALL	Philosophy_of_science	50.0	48.0	0.0
ALL	Drawing	38.23529411764706	32.35294117647059	0.0
ALL	Rapid_prototyping	36.666666666666664	36.666666666666664	0.0
ALL	Scientific_modelling	0.0	50.0	0.0
ALL	Emotion	34.0	22.0	0.0
ALL	Session_musician	50.0	50.0	0.0
ALL	Motivation	34.21052631578947	30.952380952380953	0.0
ALL	Concept	34.0	54.0	0.0
ALL	Chemical_kinetics	26.470588235294116	26.470588235294116	0.0
ALL	Group_dynamics	78.57142857142857	71.73913043478261	80.0
ALL	Image	36.95652173913044	46.0	0.0
ALL	Industrial_design	50.0	67.3913043478261	0.0
ALL	Argument	76.66666666666667	63.333333333333336	0.0
ALL	Emerging_technologies	70.0	30.0	0.0
ALL	Adobe_Photoshop	40.90909090909091	50.0	0.0
ALL	Design	34.0	50.0	34.0
ALL	Committee	50.0	70.0	0.0
ALL	Injection_molding	35.294117647058826	35.294117647058826	0.0
ALL	Content_analysis	70.0	70.0	0.0
ALL	Student_council	50.0	50.0	0.0
ALL	Technology	42.0	50.0	0.0
ALL	Structured_programming	80.0	70.0	0.0
ALL	Creative_writing	50.0	35.714285714285715	66.66666666666666
ALL	Brand_management	61.111111111111114	61.111111111111114	0.0
ALL	Pastel	61.111111111111114	61.111111111111114	0.0
ALL	Software_development_process	71.05263157894737	71.05263157894737	0.0
ALL	Metal	26.470588235294116	20.58823529411765	0.0
ALL	Psychology	20.58823529411765	28.94736842105263	0.0
ALL	Humanities	30.0	38.0	0.0
ALL	Electricity	26.470588235294116	32.35294117647059	0.0
ALL	CD-ROM	63.333333333333336	63.333333333333336	0.0
ALL	Multimedia	50.0	71.42857142857143	0.0
ALL	Writing	50.0	54.0	0.0
ALL	Tutor	16.0	16.0	0.0
ALL	Management_accounting	50.0	50.0	0.0
ALL	Pragmatism	46.0	30.0	0.0
ALL	Safety	0.0	54.0	0.0
ALL	Futures_contract	76.66666666666667	76.66666666666667	0.0
ALL	Output	42.10526315789474	57.89473684210526	0.0
ALL	Performance	50.0	50.0	0.0
ALL	Terminology	30.0	34.0	0.0
ALL	Application_software	50.0	54.34782608695652	0.0
ALL	Prototype	46.0	54.0	42.0
ALL	Evaluation	78.0	74.0	70.0
ALL	Multinational_corporation	53.333333333333336	53.333333333333336	0.0
ALL	Awareness	0.0	34.0	0.0
ALL	Accountancy	50.0	50.0	0.0
ALL	Blueprint	0.0	36.0	0.0
ALL	Statics	38.23529411764706	50.0	0.0
ALL	Literature	30.0	50.0	33.33333333333333
ALL	Academic_conference	52.94117647058823	23.529411764705884	0.0
ALL	Vocabulary	50.0	35.714285714285715	0.0
ALL	Sustainability	42.0	34.0	0.0
