Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Autonomy	60.0	60.0	70.0
ALL	Neuropsychology	50.0	50.0	66.66666666666666
ALL	Designer	38.0	34.0	0.0
ALL	Opportunity_cost	39.130434782608695	43.47826086956522	0.0
ALL	Business	55.88235294117647	55.88235294117647	0.0
ALL	Joint	64.28571428571429	50.0	66.66666666666666
ALL	Physical_exercise	78.94736842105263	76.3157894736842	66.66666666666666
ALL	Film_editing	52.94117647058823	52.94117647058823	0.0
ALL	Webcam	50.0	50.0	0.0
ALL	Cognition	76.92307692307692	80.0	66.66666666666666
ALL	Conversation	0.0	65.38461538461539	0.0
ALL	Visual_system	34.21052631578947	50.0	0.0
ALL	Mechanical_engineering	67.6470588235294	79.41176470588235	0.0
ALL	Rapid_prototyping	36.666666666666664	36.666666666666664	0.0
ALL	Surface	35.714285714285715	35.714285714285715	0.0
ALL	Invention	50.0	50.0	0.0
ALL	COBOL	19.565217391304348	41.30434782608695	0.0
ALL	Index_(publishing)	30.0	30.0	0.0
ALL	Debate	58.0	70.0	0.0
ALL	Mathematical_analysis	79.41176470588235	78.94736842105263	0.0
ALL	Broadcast_programming	50.0	26.923076923076923	0.0
ALL	Innovation	38.0	54.0	0.0
ALL	Non-parametric_statistics	0.0	50.0	0.0
ALL	Type_theory	50.0	50.0	66.66666666666666
ALL	Power_(physics)	61.76470588235294	79.41176470588235	0.0
ALL	Development_economics	71.05263157894737	71.05263157894737	0.0
ALL	Collaboration	32.35294117647059	38.23529411764706	0.0
ALL	Heat	42.857142857142854	42.857142857142854	0.0
ALL	E-learning	53.333333333333336	53.333333333333336	0.0
ALL	Market_research	52.63157894736842	57.89473684210526	0.0
ALL	Documentation	66.66666666666667	33.333333333333336	70.0
ALL	Attitude_(psychology)	52.94117647058823	52.94117647058823	0.0
ALL	Computer_programming	40.90909090909091	57.69230769230769	61.53846153846154
ALL	Management_consulting	70.0	70.0	0.0
ALL	Data_storage_device	58.8235294117647	76.47058823529412	0.0
ALL	Philosophy_of_science	50.0	80.0	0.0
ALL	Net_present_value	70.0	70.0	0.0
ALL	Motivation	78.94736842105263	78.57142857142857	78.57142857142857
ALL	Selection	58.69565217391305	70.0	0.0
ALL	Parent	50.0	21.428571428571427	0.0
ALL	Qualitative_research	79.41176470588235	79.41176470588235	0.0
ALL	Recycling	66.66666666666667	33.333333333333336	70.0
ALL	Adobe_Photoshop	46.666666666666664	46.666666666666664	61.111111111111114
ALL	Technology	54.0	66.0	0.0
ALL	Yoga	50.0	50.0	66.66666666666666
ALL	Tutor	34.0	34.0	0.0
ALL	Pragmatism	54.0	50.0	0.0
ALL	Safety	0.0	54.0	0.0
ALL	Futures_contract	53.333333333333336	53.333333333333336	0.0
ALL	Prototype	42.0	42.0	42.0
ALL	Evaluation	62.0	62.0	0.0
ALL	Blueprint	50.0	62.0	0.0
ALL	Working_memory	50.0	50.0	0.0
ALL	Glass	0.0	60.0	70.0
ALL	Team_building	71.42857142857143	78.57142857142857	0.0
ALL	Cash_flow	70.0	70.0	0.0
ALL	Aerospace	50.0	50.0	0.0
ALL	Experiential_learning	0.0	50.0	0.0
ALL	Embedded_system	63.333333333333336	63.333333333333336	0.0
ALL	Geometry	65.78947368421052	55.26315789473684	0.0
ALL	Commercialization	50.0	50.0	0.0
ALL	Interaction	54.0	54.0	38.095238095238095
ALL	Web_design	45.45454545454545	54.54545454545455	0.0
ALL	Terminology	62.0	42.0	0.0
ALL	Feedback	53.84615384615385	58.8235294117647	55.88235294117647
ALL	Software_development_process	52.63157894736842	52.63157894736842	0.0
ALL	Competitiveness	79.41176470588235	79.41176470588235	0.0
ALL	Feasibility_study	38.888888888888886	50.0	0.0
