Origin	Ann_ID	Skill	Knowledge	Interest
website	Website	4.0	1.3333333333333333	2.0
website	Industrial_design	2.0	2.0	2.0
website	Twitter	2.0	2.0	2.0
website	Musical_development	4.0	1.3333333333333333	2.0
website	WordPress	4.0	1.3333333333333333	2.0
website	LinkedIn	2.0	2.0	2.0
website	Facebook	2.0	2.0	2.0
website	Web_design	4.0	1.3333333333333333	2.0
website	Blackboard_Inc~	4.0	1.3333333333333333	2.0
website	Category_5_cable	4.0	1.3333333333333333	2.0
ALL	Acceleration	2.4642857142857144	3.2857142857142856	0.0
ALL	Prior_art	1.777777777777778	2.6666666666666665	0.0
ALL	Mass_production	5.75	5.75	0.0
ALL	Author	1.75	1.75	0.0
ALL	Ping	1.0	1.0	1.0
ALL	Index_(boek)	2.875	2.875	0.0
ALL	Heat_transfer	5.75	5.75	0.0
ALL	Online_creation	2.0	0.6666666666666666	1.0
ALL	Authentication	1.0	1.0	1.0
ALL	Confectionery	1.0	1.0	1.0
ALL	Language_interpretation	1.0	1.0	1.0
ALL	Innovation	1.9166666666666667	5.75	0.0
ALL	System_dynamics	2.5555555555555554	2.5555555555555554	0.0
ALL	Background_artist	0.0	7.666666666666667	0.0
ALL	Nationality	2.3333333333333335	1.9444444444444446	0.0
ALL	Ceiling	0.5	1.5	1.0
ALL	Corporate_identity	13.142857142857142	4.3809523809523805	0.0
ALL	Adobe_Photoshop_Elements	2.3	2.3	0.0
ALL	Application_programming_interface	2.0	0.6666666666666666	1.0
ALL	Humanities	8.533333333333333	4.977777777777778	0.0
ALL	Main_Street	1.0	1.0	1.0
ALL	Computer_program	13.777777777777779	14.074074074074074	2.0
ALL	SPSS	4.6	4.6	0.0
ALL	Electricity	17.964285714285715	17.519841269841272	0.0
ALL	20e_eeuw	2.875	2.875	0.0
ALL	Test_method	0.6666666666666667	1.3333333333333333	1.0
ALL	Statistical_hypothesis_testing	1.0	1.0	1.0
ALL	Dynamics_(mechanics)	3.7142857142857144	3.7142857142857144	0.0
ALL	Film_editing	10.222222222222221	3.407407407407407	0.0
ALL	Sound	1.5	6.5	4.0
ALL	Webcam	1.0	1.0	1.0
ALL	Autodidacticism	5.257142857142857	3.0666666666666664	0.0
ALL	Iteration	0.0	2.0	1.0
ALL	Analysis	6.755555555555556	7.9407407407407415	0.0
ALL	Simulation	14.416666666666668	13.13888888888889	1.0
ALL	Project	20.764285714285716	20.946825396825393	0.0
ALL	Exploration	1.0	3.0	2.0
ALL	Visual_system	3.5	3.5	0.0
ALL	Mechanical_engineering	0.0	5.75	0.0
ALL	Soldering	1.0	1.0	1.0
ALL	Organization	2.875	2.875	0.0
ALL	Glasses	2.9714285714285715	4.457142857142857	0.0
ALL	Mechanics	12.86904761904762	13.416666666666664	0.0
ALL	New_product_development	16.56547619047619	15.150793650793652	0.0
ALL	Reference	2.0	0.6666666666666666	1.0
ALL	Product_design	9.064285714285715	14.385714285714284	2.0
ALL	Password	2.0	0.6666666666666666	1.0
ALL	Surface	1.0	1.0	1.0
ALL	Entity	1.0	1.0	1.0
ALL	Planning	7.111111111111112	5.925925925925926	0.0
ALL	COBOL	11.255555555555556	13.551851851851852	1.0
ALL	Business_process_management	5.111111111111112	4.2592592592592595	0.0
ALL	Measurement	1.0	1.0	1.0
ALL	Adobe_Flash	13.142857142857142	4.3809523809523805	0.0
ALL	Faculty_(division)	4.0249999999999995	7.4750000000000005	0.0
ALL	Mathematical_analysis	2.4642857142857144	9.035714285714285	0.0
ALL	Statistics	4.6	4.6	0.0
ALL	Concert	3.8333333333333335	3.4444444444444446	0.0
ALL	Festival	2.3333333333333335	1.9444444444444446	0.0
ALL	Pattern	0.6666666666666667	1.3333333333333333	1.0
ALL	Old_age	1.75	1.75	0.0
ALL	Radio-frequency_identification	4.0	2.6666666666666665	3.0
ALL	Digital_photography	2.3	2.3	0.0
ALL	Mass_media	2.3	2.3	0.0
ALL	Handbook	4.6	4.6	0.0
ALL	International	2.3333333333333335	1.9444444444444446	0.0
ALL	Set_theory	13.342857142857143	21.404761904761905	3.0
ALL	Petra	2.0	2.0	0.0
ALL	User_interface_design	3.2857142857142856	3.2857142857142856	0.0
