Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Interactivity	32.0	24.0	0.0
ALL	User_interface	0.0	44.0	0.0
ALL	Making-of	44.44444444444444	44.44444444444444	0.0
ALL	Qualitative_research	29.411764705882355	23.52941176470588	0.0
ALL	Concept	52.0	48.0	52.94117647058824
ALL	Innovation	36.0	32.0	0.0
ALL	Integrated_circuit	43.47826086956522	17.391304347826086	0.0
ALL	Document	48.0	44.0	0.0
ALL	Public	50.0	43.333333333333336	0.0
ALL	Lecturer	52.17391304347826	36.0	0.0
ALL	Designer	20.0	20.0	0.0
ALL	Opportunity_cost	15.217391304347828	23.91304347826087	0.0
ALL	Black_box	70.0	70.0	70.0
ALL	Internship	71.42857142857143	50.0	0.0
ALL	Philosophy	34.78260869565217	34.78260869565217	0.0
ALL	Photocopier	70.0	70.0	0.0
ALL	Computer_program	44.11764705882353	38.23529411764706	0.0
ALL	Guide	40.0	36.0	0.0
ALL	Sustainability	28.000000000000004	20.0	0.0
ALL	Cognitive_science	32.608695652173914	32.608695652173914	0.0
ALL	Studio	39.473684210526315	23.684210526315788	0.0
ALL	Ethics	41.30434782608695	41.30434782608695	0.0
ALL	Sound	0.0	44.0	0.0
ALL	Grammar	81.81818181818183	45.45454545454545	0.0
ALL	AOL_Instant_Messenger	70.0	70.0	0.0
ALL	Cognition	23.076923076923077	40.0	0.0
ALL	Industry	40.0	40.0	0.0
ALL	Iteration	72.0	60.0	58.82352941176471
ALL	Speech_synthesis	0.0	66.66666666666666	0.0
ALL	Analysis	24.0	24.0	0.0
ALL	Simulation	21.73913043478261	17.391304347826086	0.0
ALL	Project	56.00000000000001	52.0	64.28571428571429
ALL	Architect	56.666666666666664	56.666666666666664	0.0
ALL	Visual_system	0.0	28.000000000000004	0.0
ALL	Signal_processing	0.0	66.66666666666666	0.0
ALL	Organization	44.0	44.0	0.0
ALL	Usability	47.82608695652174	43.47826086956522	0.0
ALL	Ice_hockey	70.0	70.0	70.0
ALL	New_product_development	34.78260869565217	30.434782608695656	0.0
ALL	Registered_nurse	77.77777777777779	77.77777777777779	0.0
ALL	Target_audience	55.88235294117647	50.0	0.0
ALL	Local_government	82.0	82.0	0.0
ALL	Product_design	48.0	40.0	42.857142857142854
ALL	Pronunciation	66.66666666666666	66.66666666666666	0.0
ALL	Competition	56.666666666666664	50.0	0.0
ALL	Projection_screen	70.0	70.0	70.0
ALL	Planning	17.391304347826086	17.391304347826086	0.0
ALL	COBOL	47.82608695652174	26.08695652173913	0.0
ALL	Measurement	71.05263157894737	71.05263157894737	38.88888888888889
ALL	Actuator	70.0	70.0	70.0
ALL	Sport	0.0	40.0	80.0
ALL	Case_study	16.0	20.0	0.0
ALL	Debate	14.000000000000002	26.0	0.0
ALL	Graphic_designer	56.666666666666664	56.666666666666664	0.0
ALL	Broadband	36.0	36.0	0.0
ALL	System	16.0	20.0	0.0
ALL	Interaction	44.0	32.0	28.57142857142857
ALL	Initiation	40.909090909090914	40.909090909090914	0.0
ALL	Cooperation	38.46153846153847	30.76923076923077	0.0
ALL	User_experience	42.857142857142854	38.095238095238095	0.0
ALL	International	50.0	50.0	0.0
ALL	Digital_signage	76.92307692307693	76.92307692307693	0.0
ALL	Parameter	53.333333333333336	40.0	0.0
ALL	Sheet_music	60.0	60.0	0.0
ALL	Group_theory	80.0	29.411764705882355	0.0
ALL	Risk	0.0	42.0	0.0
ALL	Meeting	20.0	24.0	0.0
ALL	Collaboration	64.70588235294117	58.82352941176471	70.0
ALL	Language_acquisition	66.66666666666666	66.66666666666666	0.0
ALL	Postcard	70.0	70.0	70.0
ALL	Game	78.94736842105263	69.04761904761905	71.05263157894737
ALL	Construction	0.0	63.63636363636363	0.0
ALL	Menopause	26.923076923076923	23.076923076923077	0.0
ALL	Report	32.0	36.0	0.0
ALL	Software_design	80.0	76.0	0.0
ALL	Website	16.0	16.0	0.0
ALL	Packaging_and_labeling	60.0	40.0	0.0
ALL	Human_nature	14.000000000000002	32.0	0.0
ALL	Algorithm	0.0	66.66666666666666	0.0
ALL	Developmental_psychology	26.666666666666668	20.0	0.0
ALL	Differential_equation	24.0	24.0	0.0
ALL	Record_producer	0.0	66.66666666666666	0.0
ALL	Short_film	61.904761904761905	57.14285714285714	0.0
ALL	Perception	24.0	76.0	0.0
ALL	Content_analysis	14.000000000000002	48.0	0.0
ALL	Philosophy_of_science	30.0	34.0	0.0
ALL	Patent_application	42.857142857142854	42.857142857142854	0.0
ALL	Emotion	16.0	32.0	0.0
ALL	Medical_equipment	66.66666666666666	66.66666666666666	0.0
ALL	Motivation	0.0	23.809523809523807	0.0
ALL	Aesthetics	0.0	44.0	0.0
ALL	Weight	64.28571428571429	42.857142857142854	50.0
ALL	Group_dynamics	30.952380952380953	52.17391304347826	0.0
ALL	Image	30.434782608695656	36.0	0.0
ALL	Nature	72.0	60.0	0.0
ALL	Argument	43.333333333333336	50.0	0.0
ALL	Paper	20.0	24.0	0.0
ALL	Design	40.0	36.0	34.0
ALL	Sustainable_design	22.22222222222222	44.44444444444444	0.0
ALL	Laboratory	0.0	26.31578947368421	0.0
ALL	Technology	24.0	24.0	0.0
ALL	Structured_programming	18.0	30.0	0.0
ALL	Humanities	68.0	68.0	0.0
ALL	Justice	40.909090909090914	40.909090909090914	0.0
ALL	Travel	0.0	38.88888888888889	71.42857142857143
ALL	Writing	44.0	32.0	0.0
ALL	Stimulation	26.31578947368421	31.57894736842105	0.0
ALL	Tutor	44.0	44.0	0.0
ALL	Quantitative_research	21.052631578947366	26.31578947368421	0.0
ALL	Pragmatism	60.0	68.0	0.0
ALL	Safety	0.0	30.0	0.0
ALL	Installation_art	64.28571428571429	64.28571428571429	64.28571428571429
ALL	Application_software	17.391304347826086	21.73913043478261	0.0
ALL	Prototype	52.0	40.0	24.0
ALL	Evaluation	32.0	28.000000000000004	0.0
ALL	Awareness	0.0	56.00000000000001	0.0
ALL	Blueprint	0.0	82.0	0.0
ALL	International_student	40.909090909090914	34.61538461538461	0.0
ALL	Ball	44.44444444444444	44.44444444444444	44.44444444444444
ALL	Scientific_modelling	36.36363636363637	30.76923076923077	0.0
ALL	Vocabulary	78.57142857142857	57.14285714285714	0.0
ALL	Industrial_design	56.52173913043478	47.82608695652174	0.0
ALL	Problem_solving	0.0	34.0	0.0
ALL	Accompaniment	32.0	28.000000000000004	0.0
ALL	Plan	16.0	12.0	0.0
ALL	Child	23.076923076923077	15.384615384615385	0.0
ALL	Conflict_resolution	39.473684210526315	28.947368421052634	0.0
ALL	Gameplay	70.0	70.0	70.0
ALL	MATLAB	0.0	66.66666666666666	0.0
ALL	Punctuation	66.66666666666666	66.66666666666666	0.0
ALL	Embedded_system	76.66666666666667	76.66666666666667	0.0
ALL	Vimeo	64.28571428571429	64.28571428571429	64.28571428571429
ALL	Weapon	70.0	70.0	70.0
ALL	Gun	0.0	70.0	70.0
ALL	Sound_design	0.0	66.66666666666666	0.0
ALL	Concrete	0.0	80.0	0.0
ALL	Selection	0.0	36.0	0.0
ALL	Academic_publishing	57.14285714285714	52.38095238095239	0.0
ALL	Translation	68.0	68.0	0.0
ALL	Terminology	72.0	82.0	0.0
ALL	Requirement	76.0	72.0	64.28571428571429
ALL	Knowledge_transfer	56.666666666666664	56.666666666666664	0.0
ALL	Musical_instrument	0.0	66.66666666666666	0.0
ALL	Tea	66.66666666666666	66.66666666666666	0.0
ALL	Globalization	58.82352941176471	36.95652173913043	0.0
ALL	Culture	44.0	44.0	0.0
ALL	Engineering	30.952380952380953	40.476190476190474	0.0
ALL	Video	56.666666666666664	50.0	53.333333333333336
ALL	Invoice	70.0	70.0	0.0
ALL	Sense	80.0	42.857142857142854	78.57142857142857
ALL	Internationalization	70.0	70.0	0.0
ALL	Seminar	36.666666666666664	43.333333333333336	0.0
ALL	Discipline	60.0	53.333333333333336	0.0
ALL	Holism	42.857142857142854	42.857142857142854	0.0
ALL	Publishing	70.0	50.0	0.0
ALL	Interaction_design	30.434782608695656	21.73913043478261	0.0
ALL	Corporation	41.17647058823529	47.05882352941176	0.0
ALL	Cooking	0.0	66.66666666666666	66.66666666666666
ALL	Outsourcing	70.0	70.0	0.0
ALL	Strategy	17.391304347826086	21.73913043478261	0.0
ALL	Blog	42.10526315789473	57.89473684210527	0.0
ALL	Environmentalism	55.55555555555556	22.22222222222222	0.0
ALL	Methodology	28.000000000000004	24.0	0.0
ALL	Wood	44.44444444444444	38.46153846153847	46.15384615384615
ALL	Teamwork	50.0	65.21739130434783	0.0
ALL	Textbook	0.0	77.77777777777779	0.0
ALL	Lever	70.0	70.0	70.0
ALL	Performance	14.000000000000002	18.0	46.15384615384615
ALL	Policy	73.52941176470588	73.52941176470588	0.0
ALL	Parallel_computing	32.0	32.0	0.0
ALL	Quality_of_life	42.10526315789473	26.31578947368421	0.0
ALL	Ad_hoc	53.84615384615385	53.84615384615385	0.0
ALL	Persona	43.47826086956522	69.56521739130434	0.0
ALL	Turning	76.0	76.0	0.0
ALL	Presentation	24.0	24.0	0.0
ALL	Regular_expression	0.0	63.1578947368421	0.0
ALL	Interview	0.0	20.0	0.0
ALL	Computer	18.0	26.0	0.0
ALL	Input_device	32.35294117647059	32.35294117647059	50.0
ALL	Password	70.0	70.0	70.0
ALL	Software_framework	12.0	24.0	0.0
ALL	Customer	0.0	56.00000000000001	0.0
ALL	Mind_map	82.0	82.0	0.0
ALL	Artist	56.666666666666664	56.666666666666664	0.0
ALL	Country	70.0	70.0	0.0
ALL	Fair_trade	70.0	70.0	0.0
ALL	Rope	64.28571428571429	64.28571428571429	64.28571428571429
ALL	Future	52.0	64.0	0.0
ALL	Style_guide	66.66666666666666	66.66666666666666	0.0
ALL	Joiner	50.0	50.0	70.0
ALL	Physics	56.00000000000001	56.00000000000001	0.0
ALL	Essay	26.190476190476193	21.428571428571427	0.0
ALL	Recording	0.0	80.0	0.0
ALL	Visual_perception	20.0	40.0	0.0
ALL	Behavioural_sciences	68.0	68.0	0.0
ALL	Cultural_identity	42.10526315789473	42.10526315789473	0.0
ALL	Hardware	65.78947368421053	55.26315789473685	0.0
ALL	Academia	26.666666666666668	26.31578947368421	0.0
ALL	Sound_recording_and_reproduction	0.0	66.66666666666666	0.0
ALL	Poster	14.285714285714285	23.809523809523807	0.0
ALL	Tool	48.0	24.0	0.0
ALL	Board_game	59.09090909090909	50.0	61.111111111111114
tudelft	Interactivity	56.00000000000001	44.0	0.0
tudelft	User_interface	0.0	44.0	0.0
tudelft	Making-of	44.44444444444444	44.44444444444444	0.0
tudelft	Interaction_design	47.82608695652174	47.82608695652174	0.0
tudelft	Innovation	48.0	36.0	0.0
tudelft	Integrated_circuit	52.17391304347826	34.78260869565217	0.0
tudelft	Document	52.0	52.0	0.0
tudelft	Public	57.692307692307686	50.0	0.0
tudelft	Lecturer	52.17391304347826	36.0	0.0
tudelft	Designer	40.0	40.0	0.0
tudelft	Opportunity_cost	15.217391304347828	23.91304347826087	0.0
tudelft	Philosophy	34.78260869565217	34.78260869565217	0.0
tudelft	Photocopier	70.0	70.0	0.0
tudelft	Computer_program	70.0	43.333333333333336	0.0
tudelft	Sustainability	40.0	32.0	0.0
tudelft	Cognitive_science	32.608695652173914	32.608695652173914	0.0
tudelft	Studio	44.73684210526316	34.21052631578947	0.0
tudelft	Ethics	41.30434782608695	41.30434782608695	0.0
tudelft	Sound	0.0	82.0	0.0
tudelft	Grammar	81.81818181818183	45.45454545454545	0.0
tudelft	AOL_Instant_Messenger	70.0	70.0	0.0
tudelft	Cognition	45.45454545454545	64.0	0.0
tudelft	Industry	40.0	40.0	0.0
tudelft	Iteration	60.0	52.0	0.0
tudelft	Speech_synthesis	0.0	66.66666666666666	0.0
tudelft	Analysis	32.0	28.000000000000004	0.0
tudelft	Simulation	30.434782608695656	30.434782608695656	0.0
tudelft	Project	56.00000000000001	52.0	0.0
tudelft	Architect	56.666666666666664	56.666666666666664	0.0
tudelft	Visual_system	0.0	28.000000000000004	0.0
tudelft	Signal_processing	0.0	66.66666666666666	0.0
tudelft	Organization	44.0	44.0	0.0
tudelft	Usability	57.14285714285714	57.14285714285714	0.0
tudelft	New_product_development	43.47826086956522	34.78260869565217	0.0
tudelft	Registered_nurse	77.77777777777779	77.77777777777779	0.0
tudelft	Target_audience	73.07692307692307	76.92307692307693	0.0
tudelft	Local_government	82.0	82.0	0.0
tudelft	Product_design	26.08695652173913	36.0	0.0
tudelft	Quantitative_research	31.57894736842105	31.57894736842105	0.0
tudelft	Competition	56.666666666666664	50.0	0.0
tudelft	Planning	30.434782608695656	30.434782608695656	0.0
tudelft	COBOL	47.82608695652174	30.434782608695656	0.0
tudelft	Measurement	79.41176470588235	50.0	0.0
tudelft	Case_study	16.0	24.0	0.0
tudelft	Debate	14.000000000000002	26.0	0.0
tudelft	Customer	0.0	68.0	0.0
tudelft	Broadband	36.0	36.0	0.0
tudelft	System	28.000000000000004	32.0	0.0
tudelft	Interaction	44.0	56.00000000000001	0.0
tudelft	Initiation	40.909090909090914	40.909090909090914	0.0
tudelft	Cooperation	38.46153846153847	30.76923076923077	0.0
tudelft	User_experience	61.904761904761905	61.904761904761905	0.0
tudelft	International	73.52941176470588	73.52941176470588	0.0
tudelft	Digital_signage	76.92307692307693	76.92307692307693	0.0
tudelft	Parameter	53.333333333333336	40.0	0.0
tudelft	Sheet_music	60.0	60.0	0.0
tudelft	Prototype	68.0	68.0	0.0
tudelft	Risk	0.0	42.0	0.0
tudelft	Evaluation	32.0	32.0	0.0
tudelft	Collaboration	52.94117647058824	47.05882352941176	0.0
tudelft	Engineering	35.714285714285715	50.0	0.0
tudelft	Construction	0.0	77.77777777777779	0.0
tudelft	Menopause	26.923076923076923	23.076923076923077	0.0
tudelft	Report	32.0	36.0	0.0
tudelft	Software_design	80.0	76.0	0.0
tudelft	Blueprint	0.0	82.0	0.0
tudelft	Human_nature	30.0	40.0	0.0
tudelft	Algorithm	0.0	66.66666666666666	0.0
tudelft	Developmental_psychology	38.46153846153847	30.76923076923077	0.0
tudelft	Differential_equation	32.0	32.0	0.0
tudelft	Record_producer	0.0	66.66666666666666	0.0
tudelft	Short_film	61.904761904761905	57.14285714285714	0.0
tudelft	Content_analysis	14.000000000000002	48.0	0.0
tudelft	Philosophy_of_science	30.0	34.0	0.0
tudelft	Patent_application	42.857142857142854	42.857142857142854	0.0
tudelft	Emotion	28.000000000000004	52.0	0.0
tudelft	Motivation	0.0	33.33333333333333	0.0
