Origin	Ann_ID	Skill	Knowledge	Interest
ALL	Interactivity	52.0	48.0	28.57142857142857
ALL	Acceleration	47.05882352941176	47.05882352941176	0.0
ALL	User_interface	82.35294117647058	82.0	0.0
ALL	Deception	66.66666666666666	66.66666666666666	0.0
ALL	Mass_production	64.70588235294117	58.82352941176471	0.0
ALL	Teamwork	68.42105263157895	78.26086956521739	0.0
ALL	Academic_publishing	23.809523809523807	28.57142857142857	0.0
ALL	Display_device	36.36363636363637	36.36363636363637	0.0
ALL	Task_force	36.36363636363637	45.45454545454545	0.0
ALL	Crowdsourcing	66.66666666666666	66.66666666666666	0.0
ALL	Day-tripper	66.66666666666666	66.66666666666666	66.66666666666666
ALL	Prior_art	0.0	58.82352941176471	0.0
ALL	Search_and_seizure	66.66666666666666	42.857142857142854	0.0
ALL	Concept	48.0	36.0	23.52941176470588
ALL	Broadcast_programming	0.0	69.23076923076923	0.0
ALL	Innovation	20.0	24.0	0.0
ALL	Integrated_circuit	17.391304347826086	30.434782608695656	0.0
ALL	Social_media	80.0	80.0	66.66666666666666
ALL	Document	76.0	72.0	64.28571428571429
ALL	Public	0.0	60.0	0.0
ALL	Cultural_history	55.55555555555556	33.33333333333333	0.0
ALL	Lecturer	36.95652173913043	40.0	0.0
ALL	Designer	32.0	28.000000000000004	0.0
ALL	Opportunity_cost	78.26086956521739	78.26086956521739	0.0
ALL	Business	17.647058823529413	35.294117647058826	0.0
ALL	Navigation	44.44444444444444	44.44444444444444	0.0
ALL	Philosophy	45.65217391304348	45.65217391304348	0.0
ALL	YouTube	36.36363636363637	81.81818181818183	0.0
ALL	Computer_program	52.94117647058824	23.52941176470588	61.111111111111114
ALL	Sustainability	36.0	28.000000000000004	0.0
ALL	Cognitive_science	73.91304347826086	73.91304347826086	0.0
ALL	Virtual_reality	80.0	80.0	0.0
ALL	Conflict_resolution	68.42105263157895	63.1578947368421	0.0
ALL	Physical_exercise	42.10526315789473	26.31578947368421	0.0
ALL	Statistical_hypothesis_testing	0.0	66.66666666666666	0.0
ALL	Translation	16.0	44.0	0.0
ALL	Turning	48.0	48.0	0.0
ALL	Tourism	66.66666666666666	66.66666666666666	66.66666666666666
ALL	Film_editing	38.23529411764706	38.23529411764706	0.0
ALL	Sound	0.0	18.0	0.0
ALL	Peer_review	77.77777777777779	77.77777777777779	0.0
ALL	Regular_expression	52.94117647058824	52.63157894736842	0.0
ALL	Cognition	46.15384615384615	50.0	0.0
ALL	Measurement	21.052631578947366	42.10526315789473	0.0
ALL	Iteration	22.0	22.0	0.0
ALL	Consumer_behaviour	73.33333333333333	73.33333333333333	0.0
ALL	Analysis	44.0	44.0	0.0
ALL	Simulation	39.130434782608695	34.78260869565217	0.0
ALL	Project	24.0	28.000000000000004	0.0
ALL	Fashion	66.66666666666666	33.33333333333333	40.0
ALL	Visual_system	42.10526315789473	56.00000000000001	0.0
ALL	Mechanical_engineering	52.94117647058824	52.94117647058824	0.0
ALL	Soldering	0.0	70.0	70.0
ALL	Organization	64.0	56.00000000000001	0.0
ALL	Empirical_research	66.66666666666666	66.66666666666666	0.0
ALL	Usability	13.043478260869565	17.391304347826086	0.0
ALL	Mechanics	64.70588235294117	64.70588235294117	0.0
ALL	New_product_development	21.73913043478261	26.08695652173913	0.0
ALL	Tutor	26.0	26.0	0.0
ALL	Computer_file	70.0	70.0	70.0
ALL	Product_design	20.0	20.0	0.0
ALL	Focus_group	60.0	50.0	59.09090909090909
ALL	Planning	52.17391304347826	52.17391304347826	27.27272727272727
ALL	COBOL	39.130434782608695	47.82608695652174	0.0
ALL	Index_(publishing)	66.66666666666666	66.66666666666666	0.0
ALL	Usability_testing	77.77777777777779	63.63636363636363	0.0
ALL	Built_environment	47.05882352941176	47.05882352941176	0.0
ALL	Support_group	30.76923076923077	38.46153846153847	0.0
ALL	Life-cycle_assessment	80.0	80.0	0.0
ALL	Software_engineering	66.66666666666666	66.66666666666666	0.0
ALL	Case_study	64.0	48.0	0.0
ALL	Debate	72.0	68.0	0.0
ALL	Mathematical_analysis	52.94117647058824	57.89473684210527	0.0
ALL	Classroom	78.57142857142857	78.57142857142857	0.0
ALL	Statistics	66.66666666666666	66.66666666666666	0.0
ALL	Wealth	57.14285714285714	57.14285714285714	0.0
ALL	Broadband	64.0	64.0	0.0
ALL	Integral	82.35294117647058	82.35294117647058	0.0
ALL	System	48.0	40.0	0.0
ALL	Agent-based_model	66.66666666666666	66.66666666666666	0.0
ALL	Interaction	16.0	16.0	0.0
ALL	Commercial_law	72.22222222222221	72.22222222222221	0.0
ALL	Performance	82.0	76.0	46.15384615384615
ALL	Set_theory	33.33333333333333	33.33333333333333	0.0
ALL	User_interface_design	17.647058823529413	17.647058823529413	0.0
ALL	Power_(physics)	70.58823529411765	52.94117647058824	0.0
ALL	Group_theory	0.0	58.82352941176471	0.0
ALL	Risk	0.0	42.0	0.0
ALL	Song	70.0	70.0	70.0
ALL	Programming_tool	63.1578947368421	63.1578947368421	0.0
ALL	Development_economics	52.63157894736842	52.63157894736842	0.0
ALL	Tool	40.0	32.0	0.0
ALL	Game	28.947368421052634	30.952380952380953	28.947368421052634
ALL	Construction	80.0	27.27272727272727	0.0
ALL	Facebook	35.714285714285715	35.714285714285715	64.28571428571429
ALL	Menopause	80.76923076923077	80.76923076923077	0.0
ALL	Mission_statement	42.10526315789473	57.89473684210527	0.0
ALL	Report	44.0	44.0	0.0
ALL	Gift_shop	66.66666666666666	66.66666666666666	66.66666666666666
ALL	E-learning	66.66666666666666	66.66666666666666	0.0
ALL	Pier	66.66666666666666	66.66666666666666	66.66666666666666
ALL	Marketing_mix	52.94117647058824	58.82352941176471	0.0
ALL	Software_design	40.0	48.0	0.0
