Origin	Ann_ID	Skill	Knowledge	Interest
website	Design	39.927246561613025	47.94477763943909	45.81569099913262
website	Interaction	39.927246561613025	47.94477763943909	45.81569099913262
website	Double_bass	39.927246561613025	47.94477763943909	45.81569099913262
website	Master_of_Ceremonies	39.927246561613025	47.94477763943909	45.81569099913262
ALL	Interactivity	2.1875	2.041666666666667	0.0
ALL	Prior_art	6.0	7.0	0.0
ALL	Project_planning	5.714285714285714	1.9047619047619047	0.0
ALL	Land_lot	1.0	1.0	1.0
ALL	Visual_programming_language	2.0	2.6666666666666665	2.0
ALL	Global_Positioning_System	12.333333333333334	6.777777777777778	0.0
ALL	Innovation	2.857142857142857	2.857142857142857	0.0
ALL	Designer	3.0	1.6666666666666665	2.0
ALL	Emergency	1.0	1.0	1.0
ALL	Computer_program	7.0	2.333333333333333	0.0
ALL	Soundtrack	2.0	0.6666666666666666	1.0
ALL	Chartered_Institute_of_Personnel_and_Development	3.5	1.1666666666666665	0.0
ALL	Double_bass	2.0	2.0	2.0
ALL	Translation	0.0	8.0	0.0
ALL	Sound	2.666666666666667	4.0	3.0
ALL	Master_class	0.0	4.0	2.0
ALL	Television_program	1.0	1.0	1.0
ALL	Iteration	1.0	1.0	1.0
ALL	Analysis	0.0	4.0	0.0
ALL	Project	41.644642857142856	22.098809523809525	0.0
ALL	Brochure	1.0	3.0	2.0
ALL	Exploration	9.520833333333334	9.375	0.0
ALL	Visual_system	5.6	5.6	0.0
ALL	Threat	0.0	2.0	1.0
ALL	Mechanical_engineering	0.6666666666666667	1.3333333333333333	1.0
ALL	Film_director	2.0	2.0	2.0
ALL	Task_analysis	0.0	2.0	1.0
ALL	Modernism	5.714285714285714	1.9047619047619047	0.0
ALL	Usability	2.1875	2.041666666666667	0.0
ALL	New_product_development	8.571428571428571	4.761904761904762	0.0
ALL	Registered_nurse	3.5	1.1666666666666665	0.0
ALL	Selection	0.0	8.0	0.0
ALL	Integral	1.0	1.0	1.0
ALL	Telephone	0.6666666666666667	1.3333333333333333	1.0
ALL	Focus_group	4.0	2.6666666666666665	3.0
ALL	Clinic	2.0	10.0	6.0
ALL	Planning	17.583333333333336	13.027777777777779	6.0
ALL	COBOL	5.357142857142858	5.357142857142858	0.0
ALL	Design_technology	0.0	2.0	1.0
ALL	Debate	1.0	11.0	6.0
ALL	Ropes_course	12.8	4.266666666666667	0.0
ALL	Product_design	22.843055555555555	21.386111111111113	0.0
ALL	Flight_dynamics	1.0	1.0	1.0
ALL	Storyboard	0.6666666666666667	3.333333333333333	2.0
ALL	User_experience	2.1875	2.041666666666667	0.0
ALL	Performance	1.0	1.0	1.0
ALL	Set_theory	4.520833333333334	4.375	0.0
ALL	Petra	2.0	2.0	0.0
ALL	Material	1.0	1.0	1.0
ALL	Game	1.0	1.0	1.0
ALL	HTML	1.0	1.0	1.0
ALL	Report	5.333333333333334	4.444444444444445	0.0
ALL	Motion_graphics	2.0	0.6666666666666666	1.0
ALL	Portable_Document_Format	2.857142857142857	4.857142857142858	1.0
ALL	Musical_ensemble	0.0	2.0	1.0
ALL	Hardness	1.0	1.0	1.0
ALL	Photograph	1.6666666666666667	2.333333333333333	2.0
ALL	Interaction	14.320833333333333	14.175	2.0
ALL	Developmental_psychology	6.057142857142857	4.723809523809524	0.0
ALL	Documentation	1.0	3.0	2.0
ALL	Hall_effect	1.0	1.0	1.0
ALL	Computer_programming	2.0	2.0	2.0
ALL	Absenteeism	2.0	2.0	2.0
ALL	Microsoft	6.0	6.0	6.0
ALL	Aesthetics	0.0	5.6	0.0
ALL	Image	0.0	5.6	0.0
ALL	Small_Press_Distribution	5.714285714285714	1.9047619047619047	0.0
ALL	Design	47.9879329004329	56.41901154401153	12.0
ALL	Technology	2.1875	2.041666666666667	0.0
ALL	Karma	0.0	2.0	1.0
ALL	Humanities	8.622222222222224	8.177777777777777	0.0
ALL	Electricity	1.0	1.0	1.0
ALL	DVD	1.0	1.0	1.0
ALL	Set_construction	3.0	1.6666666666666665	2.0
ALL	Contact_lens	1.0	1.0	1.0
ALL	Active_learning	1.4	4.199999999999999	0.0
ALL	Human_behavior	0.0	6.666666666666667	0.0
ALL	Pragmatism	2.0	0.6666666666666666	1.0
ALL	Social_media	2.0	0.6666666666666666	1.0
ALL	Emergency_department	1.0	1.0	1.0
ALL	Professional_sports	3.5	1.1666666666666665	0.0
ALL	Prototype	1.6666666666666667	2.333333333333333	2.0
ALL	Meeting	6.0	12.666666666666666	9.0
ALL	Tent	1.0	1.0	1.0
ALL	International_student	3.5	1.1666666666666665	0.0
ALL	Perception	2.8	2.8	0.0
