Origin	Ann_ID	Skill	Knowledge	Interest
website	Interactivity	42.4391768104199	21.777558163196076	28.563439914721833
website	Dutch_language	42.4391768104199	21.777558163196076	28.563439914721833
website	Interaction	51.311594088181636	37.6883293295539	41.84468313568502
website	Wealth	28.969244979678603	28.236933118582737	28.563439914721833
website	Electricity	42.4391768104199	21.777558163196076	28.563439914721833
website	Product_design	72.55507823454649	58.89470033823915	62.34423031022842
website	Display_device	28.969244979678603	28.236933118582737	28.563439914721833
website	Elevator	42.4391768104199	21.777558163196076	28.563439914721833
website	Non-governmental_organization	28.969244979678603	28.236933118582737	28.563439914721833
website	Overtime	28.969244979678603	28.236933118582737	28.563439914721833
website	Apartment	28.969244979678603	28.236933118582737	28.563439914721833
website	Exploration	28.969244979678603	28.236933118582737	28.563439914721833
website	China	42.4391768104199	21.777558163196076	28.563439914721833
website	Vision_in_Product_Design	34.26071913944173	30.073597433646313	28.563439914721833
website	Design	57.938489959357206	33.3946444104287	41.84468313568502
website	Technology	51.311594088181636	37.6883293295539	41.84468313568502
website	Microsoft	42.4391768104199	21.777558163196076	28.563439914721833
ALL	Interactivity	15.033333333333335	10.777777777777779	2.0
ALL	Acceleration	2.816326530612245	3.7551020408163263	0.0
ALL	Prior_art	5.6190476190476195	6.761904761904762	0.0
ALL	Leaf	4.0	6.0	5.0
ALL	Publication	4.0	4.0	0.0
ALL	Lead	14.8	14.8	0.0
ALL	Display_device	2.0	2.0	2.0
ALL	Digital_photography	2.5555555555555554	2.5555555555555554	0.0
ALL	Global_Positioning_System	3.5	3.5	0.0
ALL	Innovation	1.2777777777777777	3.833333333333333	0.0
ALL	Document	15.8	15.8	1.0
ALL	Background_artist	0.0	5.111111111111111	0.0
ALL	Internship	26.666666666666668	9.222222222222221	0.0
ALL	Sustainability	2.0	1.0	0.0
ALL	Translation	0.0	6.666666666666667	0.0
ALL	Glasses	2.3111111111111113	3.4666666666666663	0.0
ALL	Quality_(business)	4.6	1.5333333333333332	0.0
ALL	Television_program	3.5	1.1666666666666665	0.0
ALL	Iteration	1.0	3.0	2.0
ALL	Analysis	0.0	4.666666666666667	0.0
ALL	Mixed_media	4.0	1.3333333333333333	0.0
ALL	Project	61.285714285714285	33.317460317460316	0.0
ALL	Exploration	12.69047619047619	11.19047619047619	3.0
ALL	Visual_system	4.666666666666667	4.666666666666667	0.0
ALL	Mechanical_engineering	0.0	6.571428571428571	0.0
